trial_id,query_track_id,a_title,a_artist,b_title,b_artist,question,choice,note,rated_by
32340:H7,32340,Ambience Brooklyn Zoo Kids Waiting for Train,andybrannan,Softens The Blow,Lonely Faction,Which clip sounds MORE like the query overall?,,,
32340:H8,32340,Something Dirty,Ergo Phizmiz,Ambience Brooklyn Zoo Kids Waiting for Train,andybrannan,Which clip sounds MORE like the query overall?,,,
38896:H1,38896,take me to the movies,File Under Toner,rock around the click,File Under Toner,Which clip sounds MORE like the query overall?,,,
38896:H2,38896,rock around the click,File Under Toner,Bologna Soundcheck 031105,Justice Yeldham,Which clip sounds MORE like the query overall?,,,
38896:H3,38896,favorites,File Under Toner,rock around the click,File Under Toner,Which clip sounds MORE like the query overall?,,,
38896:H4,38896,take me to the movies,File Under Toner,Bologna Soundcheck 031105,Justice Yeldham,Which clip sounds MORE like the query overall?,,,
38896:H5,38896,take me to the movies,File Under Toner,favorites,File Under Toner,Which clip sounds MORE like the query overall?,,,
38896:H6,38896,Bologna Soundcheck 031105,Justice Yeldham,favorites,File Under Toner,Which clip sounds MORE like the query overall?,,,
38896:H7,38896,look ma no hands,File Under Toner,surf ace noise,File Under Toner,Which clip sounds MORE like the query overall?,,,
38896:H8,38896,look ma no hands,File Under Toner,take me to the movies,File Under Toner,Which clip sounds MORE like the query overall?,,,
41605:H1,41605,A Boat in the Fog and a Battle,Albert Glasser,Farm Montage (Instrumental),BOPD,Which clip sounds MORE like the query overall?,,,
41605:H2,41605,Space Kreuzfahrt,Music for Rabbits,A Boat in the Fog and a Battle,Albert Glasser,Which clip sounds MORE like the query overall?,,,
41605:H3,41605,Space Kreuzfahrt,Music for Rabbits,Farm Montage (Instrumental),BOPD,Which clip sounds MORE like the query overall?,,,
41605:H4,41605,Blue Jay,Blue Dot Sessions,Corn Maiden's Rite,Rhys Chatham,Which clip sounds MORE like the query overall?,,,
41605:H5,41605,Blue Jay,Blue Dot Sessions,The Chamber,Satori Ensemble,Which clip sounds MORE like the query overall?,,,
41605:H6,41605,Murmur,Benboncan,The Chamber,Satori Ensemble,Which clip sounds MORE like the query overall?,,,
41605:H7,41605,Charcoal Lines,Blue Dot Sessions,A Boat in the Fog and a Battle,Albert Glasser,Which clip sounds MORE like the query overall?,,,
42844:H1,42844,Pass That Joint,Lesbian Afternoon,Baladora,Waylon Thornton,Which clip sounds MORE like the query overall?,,,
42844:H2,42844,It Could Be You,Lorenzo's Music,Baladora,Waylon Thornton,Which clip sounds MORE like the query overall?,,,
42844:H3,42844,Leopard Girl,The Vivisectors,Baladora,Waylon Thornton,Which clip sounds MORE like the query overall?,,,
42844:H4,42844,It Could Be You,Lorenzo's Music,Pass That Joint,Lesbian Afternoon,Which clip sounds MORE like the query overall?,,,
42844:H5,42844,Leopard Girl,The Vivisectors,Pass That Joint,Lesbian Afternoon,Which clip sounds MORE like the query overall?,,,
42844:H6,42844,Leopard Girl,The Vivisectors,It Could Be You,Lorenzo's Music,Which clip sounds MORE like the query overall?,,,
42844:H7,42844,Gator Foot,Waylon Thornton,It Could Be You,Lorenzo's Music,Which clip sounds MORE like the query overall?,,,
42844:H8,42844,It Could Be You,Lorenzo's Music,Monsters,Giovanni Cipolla,Which clip sounds MORE like the query overall?,,,
43586:H1,43586,Vlasko,Rozsa has become... Madárka,Hora De La Me Hedinti,Eastern Watershed Klezmer Quartet,Which clip sounds MORE like the query overall?,,,
43586:H2,43586,Vlasko,Rozsa has become... Madárka,Rumelaj,Rozsa has become... Madárka,Which clip sounds MORE like the query overall?,,,
43586:H3,43586,Rumelaj,Rozsa has become... Madárka,Hora De La Me Hedinti,Eastern Watershed Klezmer Quartet,Which clip sounds MORE like the query overall?,,,
43586:H4,43586,Rumelaj,Rozsa has become... Madárka,Fuego Fatal #1,La Tabù,Which clip sounds MORE like the query overall?,,,
43586:H5,43586,L'chaim,Rozsa has become... Madárka,Fuego Fatal #1,La Tabù,Which clip sounds MORE like the query overall?,,,
43586:H6,43586,L'chaim,Rozsa has become... Madárka,Hora,Gipsyork,Which clip sounds MORE like the query overall?,,,
43586:H7,43586,Vlasko,Rozsa has become... Madárka,Free Software Song 2 (Instrumental),Jono Bacon,Which clip sounds MORE like the query overall?,,,
48442:H1,48442,Hunters Moon,Secret Archives of the Vatican,Summon,Quaro,Which clip sounds MORE like the query overall?,,,
48442:H2,48442,Runnin' With The Bulls (Instrumental),The Impossebulls,Hunters Moon,Secret Archives of the Vatican,Which clip sounds MORE like the query overall?,,,
48442:H3,48442,Hunters Moon,Secret Archives of the Vatican,Plop drop,Vibration Terrorists,Which clip sounds MORE like the query overall?,,,
48442:H4,48442,Summon,Quaro,Runnin' With The Bulls (Instrumental),The Impossebulls,Which clip sounds MORE like the query overall?,,,
48442:H5,48442,Summon,Quaro,Plop drop,Vibration Terrorists,Which clip sounds MORE like the query overall?,,,
48442:H6,48442,Runnin' With The Bulls (Instrumental),The Impossebulls,Plop drop,Vibration Terrorists,Which clip sounds MORE like the query overall?,,,
48442:H7,48442,Skango - Volfoniq rmx (Canada),Caballo and the Mothafu Kings,Intro,Resonancedj & Giulio Maddaloni,Which clip sounds MORE like the query overall?,,,
48442:H8,48442,Skango - Volfoniq rmx (Canada),Caballo and the Mothafu Kings,Trinity Ridaz At Flex Studios,Ras Amerlock,Which clip sounds MORE like the query overall?,,,
52393:H1,52393,Burn,Room For A Ghost,A04 Smoke Weed,Mom Jeans,Which clip sounds MORE like the query overall?,,,
52393:H2,52393,"Between / Associated (live in Cogitatur Theatre, Katowice, 23.03.2002)",MOAN,A04 Smoke Weed,Mom Jeans,Which clip sounds MORE like the query overall?,,,
52393:H3,52393,A04 Smoke Weed,Mom Jeans,Waves,320320320320,Which clip sounds MORE like the query overall?,,,
52393:H4,52393,"Between / Associated (live in Cogitatur Theatre, Katowice, 23.03.2002)",MOAN,Burn,Room For A Ghost,Which clip sounds MORE like the query overall?,,,
52393:H5,52393,Waves,320320320320,Burn,Room For A Ghost,Which clip sounds MORE like the query overall?,,,
52393:H6,52393,"Between / Associated (live in Cogitatur Theatre, Katowice, 23.03.2002)",MOAN,Waves,320320320320,Which clip sounds MORE like the query overall?,,,
52393:H7,52393,Glimpse,Phemale,My Feet Beneath The Water,The Golden Hours,Which clip sounds MORE like the query overall?,,,
52393:H8,52393,Tropik,Elvin Brandhi,Glimpse,Phemale,Which clip sounds MORE like the query overall?,,,
62450:H1,62450,Don't You Worry,Tricky Diesel,Julia,Jahzzar,Which clip sounds MORE like the query overall?,,,
62450:H2,62450,Banish,Sláinte,Julia,Jahzzar,Which clip sounds MORE like the query overall?,,,
62450:H3,62450,Julia,Jahzzar,Mirror Friends,Lucky Dragons,Which clip sounds MORE like the query overall?,,,
62450:H4,62450,Don't You Worry,Tricky Diesel,Banish,Sláinte,Which clip sounds MORE like the query overall?,,,
62450:H5,62450,Mirror Friends,Lucky Dragons,Don't You Worry,Tricky Diesel,Which clip sounds MORE like the query overall?,,,
62450:H6,62450,Banish,Sláinte,Mirror Friends,Lucky Dragons,Which clip sounds MORE like the query overall?,,,
62450:H7,62450,Cabinet Of Curiosities,Jacco Gardner,Song for Sonny,Plusplus,Which clip sounds MORE like the query overall?,,,
62450:H8,62450,Don't You Worry,Tricky Diesel,Cabinet Of Curiosities,Jacco Gardner,Which clip sounds MORE like the query overall?,,,
64567:H1,64567,One Day,Fierbinteanu,Chasmaeon,Ga'an,Which clip sounds MORE like the query overall?,,,
64567:H2,64567,Chasmaeon,Ga'an,Fever of Terror,Fever Dream,Which clip sounds MORE like the query overall?,,,
64567:H3,64567,Neon Hippies,Fields Ohio,Chasmaeon,Ga'an,Which clip sounds MORE like the query overall?,,,
64567:H4,64567,One Day,Fierbinteanu,Fever of Terror,Fever Dream,Which clip sounds MORE like the query overall?,,,
64567:H5,64567,Neon Hippies,Fields Ohio,One Day,Fierbinteanu,Which clip sounds MORE like the query overall?,,,
64567:H6,64567,Fever of Terror,Fever Dream,Neon Hippies,Fields Ohio,Which clip sounds MORE like the query overall?,,,
64567:H7,64567,Against The Gates,Vows,Befall,Fever Dream,Which clip sounds MORE like the query overall?,,,
64567:H8,64567,Befall,Fever Dream,Outside the water drop there's more rain drops. We jump from one to the other on our way to the pond,Cherly KaCherly,Which clip sounds MORE like the query overall?,,,
68840:H1,68840,David's Tune,Howie Mitchell,Old Molly Hare,Howie Mitchell,Which clip sounds MORE like the query overall?,,,
68840:H2,68840,David's Tune,Howie Mitchell,Wedding Dress,Howie Mitchell,Which clip sounds MORE like the query overall?,,,
68840:H3,68840,Lucky's Tune,Howie Mitchell,David's Tune,Howie Mitchell,Which clip sounds MORE like the query overall?,,,
68840:H4,68840,Human Face,Titus 12,David's Tune,Howie Mitchell,Which clip sounds MORE like the query overall?,,,
68844:H1,68844,You're So Funny,Josh Armistead,Old Bangum,Howie Mitchell,Which clip sounds MORE like the query overall?,,,
68844:H2,68844,You're So Funny,Josh Armistead,Little Brown Dog,Sandy & Caroline Paton,Which clip sounds MORE like the query overall?,,,
68844:H3,68844,Old Bangum,Howie Mitchell,Little Brown Dog,Sandy & Caroline Paton,Which clip sounds MORE like the query overall?,,,
68844:H4,68844,The False Bride,Howie Mitchell,Old Bangum,Howie Mitchell,Which clip sounds MORE like the query overall?,,,
68844:H5,68844,The False Bride,Howie Mitchell,Lucky's Tune,Howie Mitchell,Which clip sounds MORE like the query overall?,,,
68844:H6,68844,Lucky's Tune,Howie Mitchell,Lassie Wi a Yellow Coatie,Sandy & Caroline Paton,Which clip sounds MORE like the query overall?,,,
68844:H7,68844,You're So Funny,Josh Armistead,fvneral blves,Retral,Which clip sounds MORE like the query overall?,,,
75317:H1,75317,Ugly,Vienna Ditto,Shoegazing Ants,Etcetera Music,Which clip sounds MORE like the query overall?,,,
75317:H2,75317,Shoegazing Ants,Etcetera Music,Goldenshteyn,Rozsa has become... Madárka,Which clip sounds MORE like the query overall?,,,
75317:H3,75317,Shoegazing Ants,Etcetera Music,patience,owlface,Which clip sounds MORE like the query overall?,,,
75317:H4,75317,Goldenshteyn,Rozsa has become... Madárka,Ugly,Vienna Ditto,Which clip sounds MORE like the query overall?,,,
75317:H5,75317,Ugly,Vienna Ditto,patience,owlface,Which clip sounds MORE like the query overall?,,,
75317:H6,75317,patience,owlface,Goldenshteyn,Rozsa has become... Madárka,Which clip sounds MORE like the query overall?,,,
75317:H7,75317,In The Fall,Future Islands,Why Don't You Sing A Happy Song,Rodd Keith,Which clip sounds MORE like the query overall?,,,
75317:H8,75317,Composition No. 183,Anthony Braxton,Why Don't You Sing A Happy Song,Rodd Keith,Which clip sounds MORE like the query overall?,,,
84095:H1,84095,TighsFactor,Illocanblo,Psion,Quaro,Which clip sounds MORE like the query overall?,,,
84095:H2,84095,Psion,Quaro,Not Enough,TaaPet,Which clip sounds MORE like the query overall?,,,
84095:H3,84095,Psion,Quaro,Blue Steel (Instrumental),Ant The Symbol,Which clip sounds MORE like the query overall?,,,
84095:H4,84095,TighsFactor,Illocanblo,Not Enough,TaaPet,Which clip sounds MORE like the query overall?,,,
84095:H5,84095,Blue Steel (Instrumental),Ant The Symbol,TighsFactor,Illocanblo,Which clip sounds MORE like the query overall?,,,
84095:H6,84095,Blue Steel (Instrumental),Ant The Symbol,Not Enough,TaaPet,Which clip sounds MORE like the query overall?,,,
84095:H7,84095,Dub Stepping Version B,Ras Amerlock,Not Enough,TaaPet,Which clip sounds MORE like the query overall?,,,
84095:H8,84095,Forever falling up,Fanas,Not Enough,TaaPet,Which clip sounds MORE like the query overall?,,,
86441:H1,86441,We Ride,Rye Coalition,Hot Love,Nancy,Which clip sounds MORE like the query overall?,,,
86441:H2,86441,Hot Love,Nancy,Cul de Sac/Tough City,Connections,Which clip sounds MORE like the query overall?,,,
86441:H3,86441,Can't Tell No One,Negative Approach,Cul de Sac/Tough City,Connections,Which clip sounds MORE like the query overall?,,,
86441:H4,86441,Befall,Fever Dream,Mountaintop,A la Mode,Which clip sounds MORE like the query overall?,,,
87190:H1,87190,I Saw A Ghost,Wintermitts,Creepin' Crazy Time,Big Blood,Which clip sounds MORE like the query overall?,,,
87190:H2,87190,Creepin' Crazy Time,Big Blood,Feed The One,Lorenzo's Music,Which clip sounds MORE like the query overall?,,,
87190:H3,87190,Kilimanjaro,Celebration,Creepin' Crazy Time,Big Blood,Which clip sounds MORE like the query overall?,,,
87190:H4,87190,Feed The One,Lorenzo's Music,I Saw A Ghost,Wintermitts,Which clip sounds MORE like the query overall?,,,
87190:H5,87190,I Saw A Ghost,Wintermitts,Kilimanjaro,Celebration,Which clip sounds MORE like the query overall?,,,
87190:H6,87190,Kilimanjaro,Celebration,Feed The One,Lorenzo's Music,Which clip sounds MORE like the query overall?,,,
87190:H7,87190,Careful,Wintermitts,Distant Lover,Myndra,Which clip sounds MORE like the query overall?,,,
87190:H8,87190,I Saw A Ghost,Wintermitts,Distant Lover,Myndra,Which clip sounds MORE like the query overall?,,,
92885:H1,92885,Bridgewater Triangle,happiness in aeroplanes,Waltz of Obsolescence,J. Surak,Which clip sounds MORE like the query overall?,,,
92885:H2,92885,Bridgewater Triangle,happiness in aeroplanes,trASh piANo 1,Martin Rach,Which clip sounds MORE like the query overall?,,,
92885:H3,92885,Bridgewater Triangle,happiness in aeroplanes,Hope in Monoculture,The Fucked Up Beat,Which clip sounds MORE like the query overall?,,,
92885:H4,92885,Waltz of Obsolescence,J. Surak,trASh piANo 1,Martin Rach,Which clip sounds MORE like the query overall?,,,
92885:H5,92885,Hope in Monoculture,The Fucked Up Beat,Waltz of Obsolescence,J. Surak,Which clip sounds MORE like the query overall?,,,
92885:H6,92885,Hope in Monoculture,The Fucked Up Beat,trASh piANo 1,Martin Rach,Which clip sounds MORE like the query overall?,,,
92885:H7,92885,Foyer Crowd,Benboncan,Bleach Bypass Landscape,The Fucked Up Beat,Which clip sounds MORE like the query overall?,,,
92885:H8,92885,Java Pop,Spires That in the Sunset Rise,Foyer Crowd,Benboncan,Which clip sounds MORE like the query overall?,,,
94465:H1,94465,Wave a White Flag (Surrender),Monk Turner,Emotional Draft,Comfort Fit,Which clip sounds MORE like the query overall?,,,
94465:H2,94465,Proyecto U-90,Gabriel Pereira Spurr,Emotional Draft,Comfort Fit,Which clip sounds MORE like the query overall?,,,
94465:H3,94465,Emotional Draft,Comfort Fit,Head Cold,Tha Silent Partner,Which clip sounds MORE like the query overall?,,,
94465:H4,94465,Proyecto U-90,Gabriel Pereira Spurr,Wave a White Flag (Surrender),Monk Turner,Which clip sounds MORE like the query overall?,,,
94465:H5,94465,Wave a White Flag (Surrender),Monk Turner,Head Cold,Tha Silent Partner,Which clip sounds MORE like the query overall?,,,
94465:H6,94465,Head Cold,Tha Silent Partner,Proyecto U-90,Gabriel Pereira Spurr,Which clip sounds MORE like the query overall?,,,
94465:H7,94465,On Harry Love Drums,Tha Silent Partner,doukno (whereugoin?),Tha Silent Partner,Which clip sounds MORE like the query overall?,,,
94465:H8,94465,Might As Well Whistle,Ant Neely,doukno (whereugoin?),Tha Silent Partner,Which clip sounds MORE like the query overall?,,,
105408:H1,105408,iks rated,Richard Jonas,Cleaning San Fran Oil Spill With Hair Mats And Mushrooms,Mochipet,Which clip sounds MORE like the query overall?,,,
105408:H2,105408,Things We Can't See,Egg Nebula,iks rated,Richard Jonas,Which clip sounds MORE like the query overall?,,,
105408:H3,105408,Restless,Just Plain Ant,iks rated,Richard Jonas,Which clip sounds MORE like the query overall?,,,
105408:H4,105408,Cleaning San Fran Oil Spill With Hair Mats And Mushrooms,Mochipet,Things We Can't See,Egg Nebula,Which clip sounds MORE like the query overall?,,,
105408:H5,105408,Cleaning San Fran Oil Spill With Hair Mats And Mushrooms,Mochipet,Restless,Just Plain Ant,Which clip sounds MORE like the query overall?,,,
105408:H6,105408,Things We Can't See,Egg Nebula,Restless,Just Plain Ant,Which clip sounds MORE like the query overall?,,,
105408:H7,105408,Things We Can't See,Egg Nebula,House of the Rising Son,Tab & Anitek,Which clip sounds MORE like the query overall?,,,
105408:H8,105408,The Red Line,Egg Nebula,House of the Rising Son,Tab & Anitek,Which clip sounds MORE like the query overall?,,,
106277:H1,106277,A 1 Freedom voice of my soul,Art Boys Collection,It Could Be You,Lorenzo's Music,Which clip sounds MORE like the query overall?,,,
106277:H2,106277,They Seem To Be Intelligent (dustmotes Remix),Garmisch,It Could Be You,Lorenzo's Music,Which clip sounds MORE like the query overall?,,,
106277:H3,106277,Slippershell,Kristin Hersh,It Could Be You,Lorenzo's Music,Which clip sounds MORE like the query overall?,,,
106277:H4,106277,They Seem To Be Intelligent (dustmotes Remix),Garmisch,A 1 Freedom voice of my soul,Art Boys Collection,Which clip sounds MORE like the query overall?,,,
106277:H5,106277,Slippershell,Kristin Hersh,A 1 Freedom voice of my soul,Art Boys Collection,Which clip sounds MORE like the query overall?,,,
106277:H6,106277,Slippershell,Kristin Hersh,They Seem To Be Intelligent (dustmotes Remix),Garmisch,Which clip sounds MORE like the query overall?,,,
106277:H7,106277,Stumble,Just Plain Ant,carnival,Underling,Which clip sounds MORE like the query overall?,,,
106277:H8,106277,Stumble,Just Plain Ant,Wicked Woman,Galleon,Which clip sounds MORE like the query overall?,,,
107027:H1,107027,ONLYGIRL,Phemale,Wake Up,D3Zs,Which clip sounds MORE like the query overall?,,,
107027:H2,107027,Wake Up,D3Zs,Incredible Things (Instrumental),Deadly Combo,Which clip sounds MORE like the query overall?,,,
107027:H3,107027,Wake Up,D3Zs,Vanity (Instrumental),BADLUCK,Which clip sounds MORE like the query overall?,,,
107027:H4,107027,ONLYGIRL,Phemale,Incredible Things (Instrumental),Deadly Combo,Which clip sounds MORE like the query overall?,,,
107027:H5,107027,ONLYGIRL,Phemale,Vanity (Instrumental),BADLUCK,Which clip sounds MORE like the query overall?,,,
107027:H6,107027,Vanity (Instrumental),BADLUCK,Incredible Things (Instrumental),Deadly Combo,Which clip sounds MORE like the query overall?,,,
107027:H7,107027,Just A Little Love We Need,Jerry Harris,Go Away,Seven,Which clip sounds MORE like the query overall?,,,
107027:H8,107027,Just A Little Love We Need,Jerry Harris,ONLYGIRL,Phemale,Which clip sounds MORE like the query overall?,,,
107249:H1,107249,Robot Gedonist,Vanya Zhuk,El Arco Iris,Cordero,Which clip sounds MORE like the query overall?,,,
107249:H2,107249,Robot Gedonist,Vanya Zhuk,Shake Some Action,The Flamin' Groovies,Which clip sounds MORE like the query overall?,,,
107249:H3,107249,El Arco Iris,Cordero,Shake Some Action,The Flamin' Groovies,Which clip sounds MORE like the query overall?,,,
107249:H4,107249,Under The Sea,The IMG,Santa Claus is Coming to Town,Jackie & The Cedrics,Which clip sounds MORE like the query overall?,,,
107249:H5,107249,Sweet Girl,Rakiya,Santa Claus is Coming to Town,Jackie & The Cedrics,Which clip sounds MORE like the query overall?,,,
107249:H6,107249,Sweet Girl,Rakiya,People Should Get More Aware,Bird Names,Which clip sounds MORE like the query overall?,,,
107249:H7,107249,Robot Gedonist,Vanya Zhuk,Underwater sleep while trying not to breath,Cherly KaCherly,Which clip sounds MORE like the query overall?,,,
110262:H1,110262,Catch vampire Dub,Don Goliath,Calling on Jah Dub,Don Goliath,Which clip sounds MORE like the query overall?,,,
110262:H2,110262,Calling on Jah Dub,Don Goliath,Riff Cloud,Raya Brass Band,Which clip sounds MORE like the query overall?,,,
110262:H3,110262,Calling on Jah Dub,Don Goliath,Future (Remix),Kellee Maize,Which clip sounds MORE like the query overall?,,,
110262:H4,110262,Catch vampire Dub,Don Goliath,Riff Cloud,Raya Brass Band,Which clip sounds MORE like the query overall?,,,
110262:H5,110262,Catch vampire Dub,Don Goliath,Future (Remix),Kellee Maize,Which clip sounds MORE like the query overall?,,,
110262:H6,110262,Riff Cloud,Raya Brass Band,Future (Remix),Kellee Maize,Which clip sounds MORE like the query overall?,,,
110262:H7,110262,Don't Stop,Kellee Maize,I.D.K.?,K.I.R.K,Which clip sounds MORE like the query overall?,,,
110262:H8,110262,I.D.K.?,K.I.R.K,Fallaste al sacar tu cuenta,SONGO 21,Which clip sounds MORE like the query overall?,,,
113167:H1,113167,Four Walls,Derek Clegg,Fair,Derek Clegg,Which clip sounds MORE like the query overall?,,,
113167:H2,113167,Devastation and Revenge,Kevin MacLeod,Fair,Derek Clegg,Which clip sounds MORE like the query overall?,,,
113167:H3,113167,Swingin' Low,Melaena Cadiz,Fair,Derek Clegg,Which clip sounds MORE like the query overall?,,,
113167:H4,113167,Four Walls,Derek Clegg,Devastation and Revenge,Kevin MacLeod,Which clip sounds MORE like the query overall?,,,
113167:H5,113167,Four Walls,Derek Clegg,Swingin' Low,Melaena Cadiz,Which clip sounds MORE like the query overall?,,,
113167:H6,113167,Swingin' Low,Melaena Cadiz,Devastation and Revenge,Kevin MacLeod,Which clip sounds MORE like the query overall?,,,
113167:H7,113167,Marvelous,Derek Clegg,Blue Daisy,The Wingdale Community Singers,Which clip sounds MORE like the query overall?,,,
113167:H8,113167,Blue Daisy,The Wingdale Community Singers,Out of Time,Palloc,Which clip sounds MORE like the query overall?,,,
113284:H1,113284,E.M.F.H.,Raw Stiles,Forever falling up,Fanas,Which clip sounds MORE like the query overall?,,,
113284:H2,113284,Forever falling up,Fanas,Méchanismes,Le Perche Oreille,Which clip sounds MORE like the query overall?,,,
113284:H3,113284,Forever falling up,Fanas,Saturday (Weekend Groove Remix),Maxwell Powers,Which clip sounds MORE like the query overall?,,,
113284:H4,113284,Méchanismes,Le Perche Oreille,E.M.F.H.,Raw Stiles,Which clip sounds MORE like the query overall?,,,
113284:H5,113284,E.M.F.H.,Raw Stiles,Saturday (Weekend Groove Remix),Maxwell Powers,Which clip sounds MORE like the query overall?,,,
113284:H6,113284,Méchanismes,Le Perche Oreille,Saturday (Weekend Groove Remix),Maxwell Powers,Which clip sounds MORE like the query overall?,,,
113284:H7,113284,Méchanismes,Le Perche Oreille,Trinity Ridaz At Flex Studios,Ras Amerlock,Which clip sounds MORE like the query overall?,,,
113284:H8,113284,Bollywood Blades,Professor Kliq,Méchanismes,Le Perche Oreille,Which clip sounds MORE like the query overall?,,,
114223:H1,114223,Squire Tuck - Rush to the Head,Squire Tuck,Ukulele Blues,Squire Tuck,Which clip sounds MORE like the query overall?,,,
114223:H2,114223,You Don't Get Much,Big White,Ukulele Blues,Squire Tuck,Which clip sounds MORE like the query overall?,,,
114223:H3,114223,What Happened to the Way We Were?,Squire Tuck,You Don't Get Much,Big White,Which clip sounds MORE like the query overall?,,,
114223:H4,114223,Father Green,TRG Banks,Squire Tuck - Ukulele Rising,Squire Tuck,Which clip sounds MORE like the query overall?,,,
115700:H1,115700,Phase a Couple Rooms,Qkcofse,Chion's Cricket,Jim Lee,Which clip sounds MORE like the query overall?,,,
115700:H2,115700,Night Fire,Alexei Biryukoff,Chion's Cricket,Jim Lee,Which clip sounds MORE like the query overall?,,,
115700:H3,115700,Phase a Couple Rooms,Qkcofse,Night Fire,Alexei Biryukoff,Which clip sounds MORE like the query overall?,,,
