ab_id,question,a_title,a_artist,b_title,b_artist,choice
118921:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Travelor _.sinh remix,Uncle Milk,I Can't Without You,Monk Turner,
118921:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Dub step next left (feat Tom Wilkinson),Asthmatic Astronaut,"""Lucy's headphones""",Di Bos,
118921:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,Third Breach,Pandacetamol,Whispers Invoke Paranoia,Nihilore,
118921:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,sweet talking,Alcove,Travelor _.sinh remix,Uncle Milk,
118921:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,We're the Resistors,Eric Skiff,I Want to Reach the Stars With You,Fierbinteanu,
118921:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,Flow Thru Another,Shy Kids,Oh mary what have you done,Plusplus,
118921:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Tree of Tears,Kevin Hartnell,Dub step next left (feat Tom Wilkinson),Asthmatic Astronaut,
26307:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Now Dance,The Custodian of Records,Swing Deo,Alaclair Ensemble,
26307:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Onda Tocadisco,Lucky Dragons,Je Suis Le Peuple Sans Visage Featuring Arnaud Michniak,DJ /rupture,
26307:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Length and Brecht /Synaecide Remix/,Halogen,"Tarzan, On the Topic of Your Stepmother...",Zach Fleury,
26307:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Broken Homes (Broken Beats),C-Doc,IceCold,Jason Shaw,
26307:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Ode To Charles,Professor Kliq,switches (instrumetal),Digi G'Alessio,
26307:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Swing Deo,Alaclair Ensemble,Awake Too Long,Big Blood,
26307:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Je Suis Le Peuple Sans Visage Featuring Arnaud Michniak,DJ /rupture,Blackout 2,Contradiction,
26307:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Length and Brecht /Synaecide Remix/,Halogen,YOUNEEDHELP (Still A Snippet),Tha Silent Partner,
26307:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Broken Homes (Broken Beats),C-Doc,gymnosperm,Jim Morisson mon cul,
26307:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,switches (instrumetal),Digi G'Alessio,Drive Thru,Alaclair Ensemble,
26307:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,lions,The Carnys,Swing Deo,Alaclair Ensemble,
26307:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Je Suis Le Peuple Sans Visage Featuring Arnaud Michniak,DJ /rupture,Smooth Sailing,Track Jackit,
26307:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Length and Brecht /Synaecide Remix/,Halogen,Pavillon Dubstep,Expert In Mental,
26307:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,There Is Another System,Mystery Mammal,Broken Homes (Broken Beats),C-Doc,
26307:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,switches (instrumetal),Digi G'Alessio,Womp,Alaclair Ensemble,
47200:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Fake Cats Project Robs Rachmaninoff,Fake Cats Project,+4294 69 -1427,Lately Kind of Yeah,
47200:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Eu sou o fado,Gilo,Cosmic Strip,Asian Women on the Telephone,
47200:melody:3,Which clip is MORE similar to the query specifically in MELODY?,The Last Ocean,Rho,69 la dernière seconde,Salmo,
47200:melody:4,Which clip is MORE similar to the query specifically in MELODY?,IMF,Dot,b3,A. P. Vague,
47200:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Think I Fall In Love,Fierbinteanu,Solaris,Disen Gage,
47200:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,+4294 69 -1427,Lately Kind of Yeah,Devil's Own Strumpet,Clean,
47200:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Cosmic Strip,Asian Women on the Telephone,000010KSQFT00564-T4,10ksqft Werehaus,
47200:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,The Wilderness / Ghosts,David Mumford,69 la dernière seconde,Salmo,
47200:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Unquietness,The Mystery Artist,IMF,Dot,
47200:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Think I Fall In Love,Fierbinteanu,AVIATION CRAB ORCHESTRA (HARSH NOISE POSER),ODOR BABY,
47200:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,+4294 69 -1427,Lately Kind of Yeah,Cosmic Strip,Asian Women on the Telephone,
47200:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,moonrawks,Tha Silent Partner,Cosmic Strip,Asian Women on the Telephone,
47200:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,69 la dernière seconde,Salmo,Thank You Beyoncé,Leslie Keffer,
47200:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,IMF,Dot,Bardos,Sikhara,
47200:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Think I Fall In Love,Fierbinteanu,WAR ON CRISIS,ODOR BABY,
48862:melody:1,Which clip is MORE similar to the query specifically in MELODY?,My Feet Beneath The Water,The Golden Hours,Mad To Talk,NaDa BaBa,
48862:melody:3,Which clip is MORE similar to the query specifically in MELODY?,On Three Legs,Blue Dot Sessions,Instrumental,Gen Ken Montgomery,
48862:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Brain Tracker,Ghost By Nature,Things To Come,Broke For Free,
48862:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Hot salsa trip,arsonist,S.P.Y.,Codex Machine,
48862:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Hadas G.H Drum&bass,Zimbalista,My Feet Beneath The Water,The Golden Hours,
48862:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Start Running,Buildings and Mountains,Riff Cloud,Raya Brass Band,
48862:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Instrumental,Gen Ken Montgomery,Contaminate,Mutilation Rites,
48862:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Brain Tracker,Ghost By Nature,In The Sun,Lisbonne,
48862:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Piece de Tarita,Eastern Watershed Klezmer Quartet,S.P.Y.,Codex Machine,
48862:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,Can't Tell No One,Negative Approach,My Feet Beneath The Water,The Golden Hours,
48862:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,My Feet Beneath The Water,The Golden Hours,Start Running,Buildings and Mountains,
48862:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Choice,N.I.M.,Instrumental,Gen Ken Montgomery,
48862:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,Brain Tracker,Ghost By Nature,Colourdome,Change!,
48862:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,S.P.Y.,Codex Machine,Nasty Boots,The Barreracudas,
138406:melody:1,Which clip is MORE similar to the query specifically in MELODY?,We Keep The Same Hours,Sleep Out,Ones I've Never Known,Derek Clegg,
138406:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Child of the 70's,Derek Clegg,Ferns And Cork,Gillicuddy,
138406:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Tatuaje,Pistolera,Broken Homes (Broken Beats),C-Doc,
138406:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Child of the 70's,Derek Clegg,Meadow Siren,Greg Atkinson,
138406:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Cherry Trees,springtide,My Mind Never Bends,Derek Clegg,
138406:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,We Keep The Same Hours,Sleep Out,Tar Kissers,Throwing Muses,
138406:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Hott R Nott,Quiet Hooves,Child of the 70's,Derek Clegg,
138406:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Tatuaje,Pistolera,Elektra (You Were Such Fun),Red Crickets,
138406:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Child of the 70's,Derek Clegg,The Words Don't Work,Orange Peels,
138406:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,My Mind Never Bends,Derek Clegg,Hey Grrl,Shark?,
138406:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,Don't Let Me Out,Matt Bauer,We Keep The Same Hours,Sleep Out,
138406:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Only Love,Derek Clegg,Child of the 70's,Derek Clegg,
138406:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Tatuaje,Pistolera,Why You Gotta Lie,Kurt Baker,
138406:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,Auzi Mama,Gipsyork,Child of the 70's,Derek Clegg,
138406:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Daniel Bloom,Hope For Agoldensummer,My Mind Never Bends,Derek Clegg,
138413:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Last Chance,Derek Clegg,Meet Me In The Morning,David Mumford,
138413:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Hit The Drums,Josh Armistead,Four Walls,Derek Clegg,
138413:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Elektra (You Were Such Fun),Red Crickets,Thicker Than A Smokey,Gary Higgins,
138413:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Malorie,Derek Clegg,Plead the 5th Dimension,Pete Galub,
138413:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Estalo os Dedos,Pulso,Laws,Derek Clegg,
138413:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Ambulance,Coco Morier,Last Chance,Derek Clegg,
138413:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Four Walls,Derek Clegg,My Girl,Quiet Hooves,
138413:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Elektra (You Were Such Fun),Red Crickets,Child of the 70's,Derek Clegg,
138413:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Got Wings?,Big Blood,Malorie,Derek Clegg,
138413:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,"Pick a subject, let's have an argument",Shy and the Fight,Last Chance,Derek Clegg,
138413:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Four Walls,Derek Clegg,Appeal To,Hissing Fauna,
138413:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Let's Go Down,Family Of The Year,Elektra (You Were Such Fun),Red Crickets,
138413:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,Ketchup,David Mumford,Malorie,Derek Clegg,
138413:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,September Gurls (Big Star cover),Green Like July,Laws,Derek Clegg,
146961:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Carry On,Derek Clegg,Frozen,Derek Clegg,
146961:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Carry On,Derek Clegg,Hold Tight,Novi Split,
146961:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Thicker Than A Smokey,Gary Higgins,Laws,Derek Clegg,
146961:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Ave,PC-ONE,City Lights,Brock Tyler,
146961:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Blue Daisy,The Wingdale Community Singers,Last Chance,Derek Clegg,
146961:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Your Body Is A Temple,Unthunk,Frozen,Derek Clegg,
146961:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Like New,Derek Clegg,Carry On,Derek Clegg,
146961:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Memories,Tommy Jay,Laws,Derek Clegg,
146961:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,City Lights,Brock Tyler,Cumbia Infierno,La Troba Kung-Fu,
146961:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Song With No Name,Leonard Mynx,Last Chance,Derek Clegg,
146961:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,Who We Are,Derek Clegg,Frozen,Derek Clegg,
146961:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Who We Are,Derek Clegg,Carry On,Derek Clegg,
146961:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Happy end,Distemper,Laws,Derek Clegg,
146961:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,One Mile From Heaven (short version),Bobb Trimble,City Lights,Brock Tyler,
146961:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Peligro,La Sabrosa Sabrosura,Last Chance,Derek Clegg,
32693:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Ohtli,Seclorance,Octopussy,Juanitos,
32693:melody:2,Which clip is MORE similar to the query specifically in MELODY?,zero rhythm dollar boy,Katapulto,Main Course,LoveyDove,
32693:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Perfect Tomorrow,Mokhov,Spontaneous Existence,Little Glass Men,
32693:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Pusher For Record,C-Doc,Enter The Code,Frame,
32693:melody:5,Which clip is MORE similar to the query specifically in MELODY?,In Deep Soul,Track Jackit,Shoegazing Ants,Etcetera Music,
32693:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,When I Arive,Ed Askew,Octopussy,Juanitos,
32693:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Main Course,LoveyDove,Ode To Charles,Professor Kliq,
32693:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Spontaneous Existence,Little Glass Men,Show The Way,Rockit Maxx,
32693:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Enter The Code,Frame,Friendship,Zero V,
32693:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Shoegazing Ants,Etcetera Music,So On and Yo! (Instrumental),LOWdown,
32693:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,Octopussy,Juanitos,Let's go!,Adubter,
32693:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Mandala,Square Flare,Main Course,LoveyDove,
32693:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Paper For Dragon,Lantriperc,Spontaneous Existence,Little Glass Men,
32693:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,bonsoir tiroir!,Exteenager,Enter The Code,Frame,
32693:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Shoegazing Ants,Etcetera Music,Tunnel Vision,Deltason,
55102:melody:1,Which clip is MORE similar to the query specifically in MELODY?,CHICKEN INTRODUCTION,Elvis Herod,Elles,Music Komite,
55102:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Zombie Strut,Tha Silent Partner,96,Karl Blau,
55102:melody:3,Which clip is MORE similar to the query specifically in MELODY?,purity & danger,Katapulto,Death March,Here Comes A Big Black Cloud!!,
55102:melody:4,Which clip is MORE similar to the query specifically in MELODY?,True Form,Comfort Fit,Get Off My Beach,Super Creep,
55102:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Get Off My Beach,Super Creep,little scary movie,Nick Otheen,
55102:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Elles,Music Komite,Urban Coyote,Fields Ohio,
55102:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Anxiety Ejection,Candlegravity,96,Karl Blau,
55102:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,purity & danger,Katapulto,Flushing Economy,Herrmutt Lobby,
55102:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,True Form,Comfort Fit,The lack of anything good,Bitbasic,
55102:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Runnin out of time,SK,Get Off My Beach,Super Creep,
55102:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,Elles,Music Komite,Pegasus Dub,Sick To The Back Teeth,
55102:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,96,Karl Blau,Pulse,SPCZ,
55102:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,purity & danger,Katapulto,SPACEBRAIN,Phemale,
55102:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,True Form,Comfort Fit,The And Of The World,Six Umbrellas,
55102:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,It's Not Jazzz,Maniax Memori,Get Off My Beach,Super Creep,
56496:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Estalo os Dedos,Pulso,2009,Height With Friends,
56496:melody:2,Which clip is MORE similar to the query specifically in MELODY?,One Stringed Harp,Bell X1,Cavalcade Lagoons,Height With Friends,
56496:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Estalo os Dedos,Pulso,Olympia,Josh Armistead,
56496:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Desperate Den of Snakes,Amil Byleckie,One Take (Intro),Dengaz,
56496:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Classical Homicide,Dälek,Schuna,Isra-Alien Band,
56496:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,track 01,Scott Wilson & Efendi,2009,Height With Friends,
56496:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Cavalcade Lagoons,Height With Friends,Padi Badi Bap (Mister Jan and His Singing Little Spiders),Mister Jan,
56496:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Estalo os Dedos,Pulso,Ones I've Never Known,Derek Clegg,
56496:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,One Take (Intro),Dengaz,"O Pastor, a Droga e as Visões",Stealing Orchestra,
56496:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Classical Homicide,Dälek,Junky Magician,The Crypts!,
56496:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,Bicycle Fascism,Erick Gallun & Chris Stecker (Brain Science),2009,Height With Friends,
56496:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,When You Came They Were Clapping (aka America performing a brief existential crisis),Maxwell Powers,Cavalcade Lagoons,Height With Friends,
56496:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Downloading,Negativland,Estalo os Dedos,Pulso,
56496:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,Please Listen To My Demo,EPMD,One Take (Intro),Dengaz,
56496:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,When you came they were clapping (aka America performing a brief existential crisis),Maxwell Powers,Classical Homicide,Dälek,
122651:melody:1,Which clip is MORE similar to the query specifically in MELODY?,First Glance,"Oh Yeah, the Future",Tale For Mind,Coldnoise,
122651:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Ketchup,David Mumford,Ignored (Album Version),Liam Stewart,
122651:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Seventeen,Auto-Pilot,Wait For Me,Aaron Mist,
122651:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Love&Heartbreak,Squire Tuck,7,Michael Mellender,
122651:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Easy for You to Say,Sponsors,Thin Line,Jahzzar,
122651:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Green Deli,Foolk,First Glance,"Oh Yeah, the Future",
122651:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,raw instrumental pt2,Digi G'Alessio,Ketchup,David Mumford,
122651:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Satan Speaks English,Nicholas Smith,Seventeen,Auto-Pilot,
122651:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Love&Heartbreak,Squire Tuck,Morning Birds,Kristin Hersh,
122651:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,For Newspress,Goto80,Thin Line,Jahzzar,
122651:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,First Glance,"Oh Yeah, the Future",A Journey In To The Great Unknown,Squire Tuck,
122651:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Circles,Peter Biedermann,Ketchup,David Mumford,
122651:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Seventeen,Auto-Pilot,Unfinished Business,Squire Tuck,
122651:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,Afternoon Tea,Boca Chica,Love&Heartbreak,Squire Tuck,
122651:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Thin Line,Jahzzar,The Uncommon Man,Peter Biedermann,
130993:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Cover Up,Peter Biedermann,It's Not Like You (Always),Koonda Holaa,
130993:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Stingray - Dangerous Thought,Blue Dot Sessions,Theme,Blue Dot Sessions,
130993:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Found It All,Derek Clegg,Tar and Spackle,Blue Dot Sessions,
130993:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Jefferson,Blue Dot Sessions,Ray Gun - Take a Tiny Train,Blue Dot Sessions,
130993:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Siren Song,Amy Sayer,Mobile,Blue Dot Sessions,
130993:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Ballast,Blue Dot Sessions,Cover Up,Peter Biedermann,
130993:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Theme,Blue Dot Sessions,Last Night,Amy Sayer,
130993:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Tar and Spackle,Blue Dot Sessions,Chicago,Plusplus,
130993:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Ray Gun - Take a Tiny Train,Blue Dot Sessions,Thread Caramb,Blue Dot Sessions,
130993:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Lullaby,_ghost,Siren Song,Amy Sayer,
130993:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,Cover Up,Peter Biedermann,All Eventualities,Gillicuddy,
130993:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Theme,Blue Dot Sessions,That Old Harpoon,Gillicuddy,
130993:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Tar and Spackle,Blue Dot Sessions,Soleade,Peter Walker,
130993:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,Ray Gun - Take a Tiny Train,Blue Dot Sessions,Circles,Peter Biedermann,
130993:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Siren Song,Amy Sayer,Porthglaze Cove,Gillicuddy,
