review_schema_version,stable_track_id,expected_title,expected_artists,expected_album,expected_duration_seconds,expected_release_year,case_tags,case_rationale,query,candidate_rank,candidate_video_id,candidate_url,candidate_title,candidate_uploader,candidate_channel,candidate_duration_seconds,candidate_view_count,source_type,title_similarity,version_relationships,recording_eligible_feature,ineligible_feature_reasons,candidate_review_label,candidate_note,track_note
stage5b1b-heldout-review-v1,s5b1b_003,Cold Heart - PNAU Remix,Elton John | Dua Lipa | PNAU,The Lockdown Sessions,202.735,2021,named_remix | multiple_artists,Named remix with three credited artists and abundant original-song uploads.,"""Elton John"" ""Cold Heart - PNAU Remix"" official",1,qod03PVTLqk,https://www.youtube.com/watch?v=qod03PVTLqk,"Elton John, Dua Lipa - Cold Heart (PNAU Remix) (Official Video)",Elton John,Elton John,255.0,695976830,OFFICIAL_MUSIC_VIDEO,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_003,Cold Heart - PNAU Remix,Elton John | Dua Lipa | PNAU,The Lockdown Sessions,202.735,2021,named_remix | multiple_artists,Named remix with three credited artists and abundant original-song uploads.,"""Elton John"" ""Cold Heart - PNAU Remix"" official",2,oGZ1PVwJyPQ,https://www.youtube.com/watch?v=oGZ1PVwJyPQ,Elton John & Dua Lipa - Cold Heart (PNAU Remix),LatinHype,LatinHype,203.0,29099017,OTHER,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_003,Cold Heart - PNAU Remix,Elton John | Dua Lipa | PNAU,The Lockdown Sessions,202.735,2021,named_remix | multiple_artists,Named remix with three credited artists and abundant original-song uploads.,"""Elton John"" ""Cold Heart - PNAU Remix"" official",3,Lmo3tegS3vw,https://www.youtube.com/watch?v=Lmo3tegS3vw,"[10 HOURS] Elton John, Dua Lipa - Cold Heart (PNAU Remix) (Lyrics)",Arda Sedefoğlu,Arda Sedefoğlu,36540.0,44225,LYRIC_VIDEO,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_003,Cold Heart - PNAU Remix,Elton John | Dua Lipa | PNAU,The Lockdown Sessions,202.735,2021,named_remix | multiple_artists,Named remix with three credited artists and abundant original-song uploads.,"""Elton John"" ""Cold Heart - PNAU Remix"" official",4,lImsPi5RGGo,https://www.youtube.com/watch?v=lImsPi5RGGo,Elton John Dua Lipa - Cold Heart PNAU Remix Extended,Nutria,Nutria,861.0,13455384,OTHER,0.500000,extended=CONFLICT; remix=MATCH,false,"explicit version conflict: extended: target=none, candidate=extended",,,
stage5b1b-heldout-review-v1,s5b1b_003,Cold Heart - PNAU Remix,Elton John | Dua Lipa | PNAU,The Lockdown Sessions,202.735,2021,named_remix | multiple_artists,Named remix with three credited artists and abundant original-song uploads.,"""Elton John"" ""Cold Heart - PNAU Remix"" official",5,mSFPhdyfY2A,https://www.youtube.com/watch?v=mSFPhdyfY2A,"Elton John, Dua Lipa - Cold Heart (Live From Dodger Stadium, USA / 2022)",Elton John,Elton John,307.0,713020,OTHER,1.000000,live=CONFLICT; remix=ABSENT,false,"explicit version conflict: live: target=none, candidate=Dodger Stadium, USA / 2022",,,
stage5b1b-heldout-review-v1,s5b1b_004,Summertime Sadness - Cedric Gervais Remix,Lana Del Rey | Cedric Gervais,Summertime Sadness (Cedric Gervais Remix),214.912,2013,named_remix | multiple_remixes,Specific named remix competing with the original and other remixes.,"""Lana Del Rey"" ""Summertime Sadness - Cedric Gervais Remix"" official",1,XPbN2pQXe1o,https://www.youtube.com/watch?v=XPbN2pQXe1o,Lana Del Rey - Summertime Sadness (Cedric Gervais Remix),Spinnin' Records,Spinnin' Records,416.0,21700700,OTHER,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_004,Summertime Sadness - Cedric Gervais Remix,Lana Del Rey | Cedric Gervais,Summertime Sadness (Cedric Gervais Remix),214.912,2013,named_remix | multiple_remixes,Specific named remix competing with the original and other remixes.,"""Lana Del Rey"" ""Summertime Sadness - Cedric Gervais Remix"" official",2,wlw-9R80U5E,https://www.youtube.com/watch?v=wlw-9R80U5E,Lana Del Rey - Summertime Sadness (Cedric Gervais Remix) [2013 Radio Edit],Christian Campos,Christian Campos,221.0,806875,OTHER,1.000000,radio_edit=CONFLICT; remix=MATCH,false,"explicit version conflict: radio_edit: target=none, candidate=radio edit",,,
stage5b1b-heldout-review-v1,s5b1b_004,Summertime Sadness - Cedric Gervais Remix,Lana Del Rey | Cedric Gervais,Summertime Sadness (Cedric Gervais Remix),214.912,2013,named_remix | multiple_remixes,Specific named remix competing with the original and other remixes.,"""Lana Del Rey"" ""Summertime Sadness - Cedric Gervais Remix"" official",3,lPsO2cIZCtU,https://www.youtube.com/watch?v=lPsO2cIZCtU,Lana Del Rey - Summertime Sadness (Cedric Gervais Remix),Martin Molnar,Martin Molnar,282.0,213178,OTHER,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_004,Summertime Sadness - Cedric Gervais Remix,Lana Del Rey | Cedric Gervais,Summertime Sadness (Cedric Gervais Remix),214.912,2013,named_remix | multiple_remixes,Specific named remix competing with the original and other remixes.,"""Lana Del Rey"" ""Summertime Sadness - Cedric Gervais Remix"" official",4,c4uFoSPlFh0,https://www.youtube.com/watch?v=c4uFoSPlFh0,Lana Del Rey - Summertime Sadness (Cedric Remix) (Bass Boosted),Bass Boosted City,Bass Boosted City,278.0,2481292,OTHER,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_004,Summertime Sadness - Cedric Gervais Remix,Lana Del Rey | Cedric Gervais,Summertime Sadness (Cedric Gervais Remix),214.912,2013,named_remix | multiple_remixes,Specific named remix competing with the original and other remixes.,"""Lana Del Rey"" ""Summertime Sadness - Cedric Gervais Remix"" official",5,4YAuhS8EEz4,https://www.youtube.com/watch?v=4YAuhS8EEz4,Summertime Sadness [Lana Del Rey vs. Cedric Gervais],Lana Del Rey,Lana Del Rey,413.0,1112911,ART_TRACK_TOPIC,1.000000,remix=ABSENT,true,,,,
stage5b1b-heldout-review-v1,s5b1b_005,I Took A Pill In Ibiza - Seeb Remix,Mike Posner | Seeb,"At Night, Alone.",197.933,2016,named_remix | original_differs_strongly,Dance remix is substantially different from the acoustic original recording.,"""Mike Posner"" ""I Took A Pill In Ibiza - Seeb Remix"" official",1,foE1mO2yM04,https://www.youtube.com/watch?v=foE1mO2yM04,Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),Mike Posner,Mike Posner,237.0,1806179967,OTHER,1.000000,content_rating=CONFLICT; remix=MATCH,false,"explicit version conflict: content_rating: target=none, candidate=explicit",,,
stage5b1b-heldout-review-v1,s5b1b_005,I Took A Pill In Ibiza - Seeb Remix,Mike Posner | Seeb,"At Night, Alone.",197.933,2016,named_remix | original_differs_strongly,Dance remix is substantially different from the acoustic original recording.,"""Mike Posner"" ""I Took A Pill In Ibiza - Seeb Remix"" official",2,u3VFzuUiTGw,https://www.youtube.com/watch?v=u3VFzuUiTGw,Mike Posner - I Took A Pill In Ibiza (SeeB Remix),Chill Nation,Chill Nation,200.0,166662252,OTHER,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_005,I Took A Pill In Ibiza - Seeb Remix,Mike Posner | Seeb,"At Night, Alone.",197.933,2016,named_remix | original_differs_strongly,Dance remix is substantially different from the acoustic original recording.,"""Mike Posner"" ""I Took A Pill In Ibiza - Seeb Remix"" official",3,Og_tTWbZP9Q,https://www.youtube.com/watch?v=Og_tTWbZP9Q,I Took A Pill In Ibiza (Seeb Remix),Mike Posner,Mike Posner,198.0,4131680,ART_TRACK_TOPIC,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_005,I Took A Pill In Ibiza - Seeb Remix,Mike Posner | Seeb,"At Night, Alone.",197.933,2016,named_remix | original_differs_strongly,Dance remix is substantially different from the acoustic original recording.,"""Mike Posner"" ""I Took A Pill In Ibiza - Seeb Remix"" official",4,0rgwj1n637Y,https://www.youtube.com/watch?v=0rgwj1n637Y,Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Lyrics),Loku,Loku,227.0,1063626,LYRIC_VIDEO,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_005,I Took A Pill In Ibiza - Seeb Remix,Mike Posner | Seeb,"At Night, Alone.",197.933,2016,named_remix | original_differs_strongly,Dance remix is substantially different from the acoustic original recording.,"""Mike Posner"" ""I Took A Pill In Ibiza - Seeb Remix"" official",5,llBfELHME-U,https://www.youtube.com/watch?v=llBfELHME-U,I Took A Pill In Ibiza (Seeb Remix),Mike Posner,Mike Posner,198.0,14540463,ART_TRACK_TOPIC,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_006,Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs | A-Trak,Heads Will Roll (A-Trak Remix),383.773,2009,named_remix | extended_duration,Long named remix with many shortened edits and original-version results.,"""Yeah Yeah Yeahs"" ""Heads Will Roll - A-Trak Remix"" official",1,XEA6-RlhSb4,https://www.youtube.com/watch?v=XEA6-RlhSb4,Heads Will Roll (A-Trak Remix),yeahyeahyeahsmusic,yeahyeahyeahsmusic,384.0,18611966,ART_TRACK_TOPIC,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_006,Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs | A-Trak,Heads Will Roll (A-Trak Remix),383.773,2009,named_remix | extended_duration,Long named remix with many shortened edits and original-version results.,"""Yeah Yeah Yeahs"" ""Heads Will Roll - A-Trak Remix"" official",2,umAL-6-j1Ew,https://www.youtube.com/watch?v=umAL-6-j1Ew,Yeah Yeah Yeahs - Heads Will Roll (A-Trak remix),Behind The Beam,Behind The Beam,205.0,29931028,OTHER,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_006,Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs | A-Trak,Heads Will Roll (A-Trak Remix),383.773,2009,named_remix | extended_duration,Long named remix with many shortened edits and original-version results.,"""Yeah Yeah Yeahs"" ""Heads Will Roll - A-Trak Remix"" official",3,hRxv0EmgEaY,https://www.youtube.com/watch?v=hRxv0EmgEaY,Yeah Yeah Yeahs - Heads Will Roll (A-Trak Remix Radio Edit) (Lyrics),7clouds,7clouds,205.0,700739,LYRIC_VIDEO,1.000000,radio_edit=CONFLICT; remix=MATCH,false,"explicit version conflict: radio_edit: target=none, candidate=radio edit",,,
stage5b1b-heldout-review-v1,s5b1b_006,Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs | A-Trak,Heads Will Roll (A-Trak Remix),383.773,2009,named_remix | extended_duration,Long named remix with many shortened edits and original-version results.,"""Yeah Yeah Yeahs"" ""Heads Will Roll - A-Trak Remix"" official",4,2Z9WTSGfWzE,https://www.youtube.com/watch?v=2Z9WTSGfWzE,Heads Will Roll (A-Trak Remix Radio Edit),yeahyeahyeahsmusic,yeahyeahyeahsmusic,204.0,13258816,ART_TRACK_TOPIC,1.000000,radio_edit=CONFLICT; remix=MATCH,false,"explicit version conflict: radio_edit: target=none, candidate=radio edit",,,
stage5b1b-heldout-review-v1,s5b1b_006,Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs | A-Trak,Heads Will Roll (A-Trak Remix),383.773,2009,named_remix | extended_duration,Long named remix with many shortened edits and original-version results.,"""Yeah Yeah Yeahs"" ""Heads Will Roll - A-Trak Remix"" official",5,O3c4dPxN1qM,https://www.youtube.com/watch?v=O3c4dPxN1qM,[Project X Movie Music] Heads Will Roll (A-Trak Remix) - Yeah Yeah Yeahs,syco546,syco546,385.0,88431334,OTHER,0.200000,remix=ABSENT,false,explicit core-title contradiction: no normalized title-token overlap,,,
stage5b1b-heldout-review-v1,s5b1b_007,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick | Robin Schulz,Prayer in C (Robin Schulz Remix),189.413,2014,named_remix | radio_edit,Both remixer identity and radio-edit form are semantically meaningful.,"""Lilly Wood and The Prick"" ""Prayer in C - Robin Schulz Radio Edit"" official",1,fiore9Z5iUg,https://www.youtube.com/watch?v=fiore9Z5iUg,Lilly Wood & The Prick and Robin Schulz - Prayer In C (Robin Schulz Remix) (Official),Robin Schulz,Robin Schulz,194.0,918119139,OTHER,1.000000,radio_edit=ABSENT; remix=CONFLICT,false,"explicit version conflict: remix: target=none, candidate=Robin Schulz",,,
stage5b1b-heldout-review-v1,s5b1b_007,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick | Robin Schulz,Prayer in C (Robin Schulz Remix),189.413,2014,named_remix | radio_edit,Both remixer identity and radio-edit form are semantically meaningful.,"""Lilly Wood and The Prick"" ""Prayer in C - Robin Schulz Radio Edit"" official",2,20NRv-A_a4c,https://www.youtube.com/watch?v=20NRv-A_a4c,Prayer in C (Robin Schulz Radio Edit),Lilly Wood & The Prick,Lilly Wood & The Prick,190.0,683441,ART_TRACK_TOPIC,1.000000,radio_edit=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_007,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick | Robin Schulz,Prayer in C (Robin Schulz Remix),189.413,2014,named_remix | radio_edit,Both remixer identity and radio-edit form are semantically meaningful.,"""Lilly Wood and The Prick"" ""Prayer in C - Robin Schulz Radio Edit"" official",3,n8vmGiZ-YhU,https://www.youtube.com/watch?v=n8vmGiZ-YhU,Prayer in C (Robin Schulz Radio Edit),Lilly Wood & The Prick,Lilly Wood & The Prick,190.0,137152,ART_TRACK_TOPIC,1.000000,radio_edit=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_007,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick | Robin Schulz,Prayer in C (Robin Schulz Remix),189.413,2014,named_remix | radio_edit,Both remixer identity and radio-edit form are semantically meaningful.,"""Lilly Wood and The Prick"" ""Prayer in C - Robin Schulz Radio Edit"" official",4,Xin1tuov224,https://www.youtube.com/watch?v=Xin1tuov224,01 lilly wood and the prick and robin schulz   prayer in c robin schulz radio edit,I.B. Tube,I.B. Tube,193.0,264376,OTHER,0.241758,radio_edit=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_007,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick | Robin Schulz,Prayer in C (Robin Schulz Remix),189.413,2014,named_remix | radio_edit,Both remixer identity and radio-edit form are semantically meaningful.,"""Lilly Wood and The Prick"" ""Prayer in C - Robin Schulz Radio Edit"" official",5,B4HvaBWCYVc,https://www.youtube.com/watch?v=B4HvaBWCYVc,Lilly Wood & The Prick and Robin Schulz - Prayer In C (Robin Schulz Remix),Big Beat Records,Big Beat Records,323.0,24022053,OTHER,1.000000,radio_edit=ABSENT; remix=CONFLICT,false,"explicit version conflict: remix: target=none, candidate=Robin Schulz",,,
stage5b1b-heldout-review-v1,s5b1b_008,The Sound of Silence - CYRIL Remix,Disturbed | CYRIL,The Sound of Silence (CYRIL Remix),185.869,2024,named_remix | cover_lineage,A remix of a cover with multiple recording families sharing the same title.,"""Disturbed"" ""The Sound of Silence - CYRIL Remix"" official",1,uIBJJ3M76Mg,https://www.youtube.com/watch?v=uIBJJ3M76Mg,Disturbed - The Sound Of Silence (CYRIL Remix) [Official Audio],Spinnin' Records and CYRIL,Spinnin' Records and CYRIL,186.0,251876942,OFFICIAL_AUDIO,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_008,The Sound of Silence - CYRIL Remix,Disturbed | CYRIL,The Sound of Silence (CYRIL Remix),185.869,2024,named_remix | cover_lineage,A remix of a cover with multiple recording families sharing the same title.,"""Disturbed"" ""The Sound of Silence - CYRIL Remix"" official",2,DoCPvMCNnbM,https://www.youtube.com/watch?v=DoCPvMCNnbM,Disturbed - The Sound Of Silence (CYRIL Remix) (Lyrics),7clouds,7clouds,184.0,19828209,LYRIC_VIDEO,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_008,The Sound of Silence - CYRIL Remix,Disturbed | CYRIL,The Sound of Silence (CYRIL Remix),185.869,2024,named_remix | cover_lineage,A remix of a cover with multiple recording families sharing the same title.,"""Disturbed"" ""The Sound of Silence - CYRIL Remix"" official",3,pyHSdm_HkqE,https://www.youtube.com/watch?v=pyHSdm_HkqE,Disturbed - The Sound Of Silence (CYRIL Remix) [Official Lyric Video],CYRIL,CYRIL,186.0,8802342,LYRIC_VIDEO,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_008,The Sound of Silence - CYRIL Remix,Disturbed | CYRIL,The Sound of Silence (CYRIL Remix),185.869,2024,named_remix | cover_lineage,A remix of a cover with multiple recording families sharing the same title.,"""Disturbed"" ""The Sound of Silence - CYRIL Remix"" official",4,BlRsJbK3wGg,https://www.youtube.com/watch?v=BlRsJbK3wGg,Disturbed - The Sound Of Silence (CYRIL Remix) (Lyrics),Ethereal Lyrics,Ethereal Lyrics,1544.0,1608762,LYRIC_VIDEO,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_008,The Sound of Silence - CYRIL Remix,Disturbed | CYRIL,The Sound of Silence (CYRIL Remix),185.869,2024,named_remix | cover_lineage,A remix of a cover with multiple recording families sharing the same title.,"""Disturbed"" ""The Sound of Silence - CYRIL Remix"" official",5,rHUJdW68la4,https://www.youtube.com/watch?v=rHUJdW68la4,Disturbed - The Sound Of Silence (CYRIL Remix),Alex,Alex,183.0,7562037,OTHER,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_009,Old Town Road - Remix,Lil Nas X | Billy Ray Cyrus,7 EP,157.067,2019,remix | featured_artist | short_duration,Commercial remix and original share nearly identical title evidence.,"""Lil Nas X"" ""Old Town Road - Remix"" official",1,loSuMqwQA38,https://www.youtube.com/watch?v=loSuMqwQA38,Lil Nas X & Billy Ray Cyrus feat. Young Thug & Mason Ramsey - Old Town Road (Remix) [Lyric Video],Lil Nas X,Lil Nas X,173.0,53622272,LYRIC_VIDEO,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_009,Old Town Road - Remix,Lil Nas X | Billy Ray Cyrus,7 EP,157.067,2019,remix | featured_artist | short_duration,Commercial remix and original share nearly identical title evidence.,"""Lil Nas X"" ""Old Town Road - Remix"" official",2,r7qovpFAGrQ,https://www.youtube.com/watch?v=r7qovpFAGrQ,Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus,Lil Nas X,Lil Nas X,158.0,1535825222,OFFICIAL_MUSIC_VIDEO,1.000000,remix=ABSENT,true,,,,
stage5b1b-heldout-review-v1,s5b1b_009,Old Town Road - Remix,Lil Nas X | Billy Ray Cyrus,7 EP,157.067,2019,remix | featured_artist | short_duration,Commercial remix and original share nearly identical title evidence.,"""Lil Nas X"" ""Old Town Road - Remix"" official",3,7ysFgElQtjI,https://www.youtube.com/watch?v=7ysFgElQtjI,Lil Nas X - Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X,Lil Nas X,158.0,591147840,OTHER,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_009,Old Town Road - Remix,Lil Nas X | Billy Ray Cyrus,7 EP,157.067,2019,remix | featured_artist | short_duration,Commercial remix and original share nearly identical title evidence.,"""Lil Nas X"" ""Old Town Road - Remix"" official",4,PyAUbttMK4Y,https://www.youtube.com/watch?v=PyAUbttMK4Y,"Lil Nas X, Billy Ray Cyrus, Diplo - Old Town Road (Diplo Remix - Official Audio)",Lil Nas X,Lil Nas X,206.0,7612281,OFFICIAL_AUDIO,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_009,Old Town Road - Remix,Lil Nas X | Billy Ray Cyrus,7 EP,157.067,2019,remix | featured_artist | short_duration,Commercial remix and original share nearly identical title evidence.,"""Lil Nas X"" ""Old Town Road - Remix"" official",5,w2Ov5jzm3j8,https://www.youtube.com/watch?v=w2Ov5jzm3j8,Lil Nas X - Old Town Road (Official Movie) ft. Billy Ray Cyrus,Lil Nas X,Lil Nas X,309.0,737267515,OTHER,1.000000,remix=ABSENT,true,,,,
stage5b1b-heldout-review-v1,s5b1b_010,Savage Remix (feat. Beyoncé),Megan Thee Stallion | Beyoncé,Savage Remix,242.001,2020,remix | feat_in_title | multiple_artists,Featured-artist title noise coexists with a recording-defining remix marker.,"""Megan Thee Stallion"" ""Savage Remix"" official",1,lEIqjoO0-Bs,https://www.youtube.com/watch?v=lEIqjoO0-Bs,Megan Thee Stallion - Savage Remix (feat. Beyoncé) [Official Audio],Megan Thee Stallion,Megan Thee Stallion,242.0,101761946,OFFICIAL_AUDIO,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_010,Savage Remix (feat. Beyoncé),Megan Thee Stallion | Beyoncé,Savage Remix,242.001,2020,remix | feat_in_title | multiple_artists,Featured-artist title noise coexists with a recording-defining remix marker.,"""Megan Thee Stallion"" ""Savage Remix"" official",2,FatzlG2DNdY,https://www.youtube.com/watch?v=FatzlG2DNdY,Megan Thee Stallion - Savage Remix (feat. Beyoncé) [Lyric Video],Megan Thee Stallion,Megan Thee Stallion,246.0,40904907,LYRIC_VIDEO,1.000000,remix=MATCH,true,,,,
stage5b1b-heldout-review-v1,s5b1b_010,Savage Remix (feat. Beyoncé),Megan Thee Stallion | Beyoncé,Savage Remix,242.001,2020,remix | feat_in_title | multiple_artists,Featured-artist title noise coexists with a recording-defining remix marker.,"""Megan Thee Stallion"" ""Savage Remix"" official",3,-EG4_0I22rw,https://www.youtube.com/watch?v=-EG4_0I22rw,Megan Thee Stallion - Savage (Major Lazer Remix) [Official Audio],Megan Thee Stallion,Megan Thee Stallion,300.0,1047084,OFFICIAL_AUDIO,0.666667,remix=CONFLICT,false,"explicit version conflict: remix: target=Savage (feat. Beyoncé, candidate=Major Lazer",,,
