event_id,trial_id,rater_id,choice,note,submitted_at,supersedes_event_id
vote_58b4cdd194dd7a21039c93c8,s2b_16c6f61cfae88bbbdafd7af5,lenny,A,,1787728478,
vote_a90515d1004f31093299b78d,s2b_198508b8b6640a12588a5762,lenny,B,,1787728483,
vote_a02597cf4f0c5c282562f9a0,s2b_1a158782cbf4aa98744a9235,lenny,A,,1787728491,
vote_c2cc9b6c657290d6f2e6e909,s2b_1acec3c97c252875d8a5469e,lenny,Tie,both very similar to q,1787728501,
vote_05e2cf5c889939d8a75081c0,s2b_1c5a8eddc76f28fc91cc6716,lenny,A,,1787728508,
vote_0291080e20072270623925dc,s2b_1f1523336d629d2aa35f745c,lenny,A,,1787728521,
vote_d4bda4a5cef6f60e5da94a5f,s2b_1f2e03b2c25a9081cd18ba55,lenny,A,,1787728538,
vote_c133841f883f3395d1ede7fe,s2b_1fcfb90aae9b2cb3a73d1ec4,lenny,A,they are both similar in vibe but a slightly,1787728578,
vote_d22e35ec7de05ec7ffff4bb1,s2b_20dba19b34f3a7fd5ac52f03,lenny,A,,1787728591,
vote_c67d3b6ade01cdae5158bff5,s2b_20f7b862fab83a75f99e93d1,lenny,B,,1787728606,
vote_4d85c25f43732300240c1f78,s2b_2168ecbc52499fd1427ba2e6,lenny,Tie,,1787728623,
vote_2840f6209975d7c2246da4c9,s2b_22bcf2a91318d1509f6fc904,lenny,Neither,,1787728635,
vote_a1043948ef9f182a374432f2,s2b_2311862db9d3e7430eba62b5,lenny,Tie,they are both similar to q in eerie vibe,1787728656,
vote_157b7821c5b8f3a3e37c3b53,s2b_238d38b87154886a6762e72b,lenny,Tie,,1787728671,
vote_461155dd9d84cd461fb9c69f,s2b_2a60b4ac5ad60564b53a7d4f,lenny,Tie,,1787728677,
vote_2613036b524f95712e3feb23,s2b_2e368afbad2aa8b8365c72e3,lenny,B,i think b is closer but a could be in the same genre of song,1787728712,
vote_01ba2669060feb9387647d2f,s2b_2ef548f468445f34add70275,lenny,B,,1787728718,
vote_40d595697b812acebddbaf1a,s2b_30a37b741712559441f52dfe,lenny,B,,1787728734,
vote_ce4bc830957e5882d8532fac,s2b_3199911328fec44b2e8668f6,lenny,Tie,,1787728740,
vote_5b9396e5cd8a2c9bb6acd6b9,s2b_333ddbead16fd72fd1089f24,lenny,B,,1787728746,
vote_70e8e02657b14ada9a7f2f1f,s2b_338405eaaca89c9eeb3162df,lenny,A,,1787728753,
vote_0d40d60d9690360746c23f3b,s2b_350810d63fe97b776ebbd71b,lenny,B,q sounds like a 50s black and white film song while a and b sound almost old family party style music but b has similar sound si guess?,1787728825,
vote_bd78687bdcf672eed9cf2377,s2b_357f41da3aad387224afb5ec,lenny,Tie,,1787728832,
vote_96215f8550b6828e55e713d8,s2b_3691d82d6d508eb8e518ad1a,lenny,B,,1787728842,
vote_4ed9638e5f30a175533c8094,s2b_3789cde06c31a9fce3f6a124,lenny,B,a sounds like the same genre too but b is closer,1787728870,
vote_8052a4d27d761db657a8a9a8,s2b_379a398759ed8afdadff2b65,lenny,Tie,they all sound like folk music,1787728883,
vote_3af947787ab182603fa4e382,s2b_3958015275e803fa181e56ad,lenny,Tie,,1787728888,
vote_a366183bc0c740c7802bd8e8,s2b_3a9597f0df7f0299deee4b18,lenny,B,,1787728919,
vote_bfe5698572b791c368f76af7,s2b_3d45797a10d7a1b1b5023f6a,lenny,A,b almost sounds like same genre but a is very close to q,1787728946,
vote_e95d51005a74c97901f5587a,s2b_3fc8983a34bb453a03ca9022,lenny,A,,1787728950,
vote_a2209c8950938b0d3205f343,s2b_400bf6f4de6fc2d8297d0c94,lenny,Tie,,1787728969,
vote_9e4bb986914f656bbfd125cf,s2b_42311e13f2478dbb3f7a31ec,lenny,A,,1787728973,
vote_b130dbf91fea7567a7676b6c,s2b_4458cf3a28ea6fee41e9f9d8,lenny,A,,1787729041,
vote_e8819e2fdd760cdd2f5d6f75,s2b_454f2cfea1fdcc05e73dc7e6,lenny,Neither,,1787729058,
vote_45e8770349febb5b6dcdf33d,s2b_46e1cbd214883ff174b9d30a,lenny,A,,1787729067,
vote_bf2b798b914f90ac67a7f294,s2b_47d58d9e3aca0617e92492a8,lenny,Tie,,1787729080,
vote_a7e08ed438bf062394aaa0c7,s2b_480371f04a0f1fcd943da1d0,lenny,A,a and q are very close but i can see b being the same genre,1787729100,
vote_af11436f038aa11da5ee9aa9,s2b_4871e1c6fd7d7c69353e6648,lenny,B,,1787729107,
vote_d9be93f30c062502da16b36c,s2b_487c2e8f736fb747122d86a5,lenny,Neither,i would say a but a or b dont sound too close to q in my opinion could be wrong,1787729143,
vote_3295b9d953aa9e28d50d5ed7,s2b_48877ea6472116f0154acb92,lenny,Tie,i see all 3 being same vibe,1787729164,
vote_39469e055036070c1c949c20,s2b_493a345343843e956e9c720d,lenny,A,b has similar sounds but i see a being the same genre,1787729197,
vote_125289ed6c5b9d33986a3d14,s2b_49a671f449686a54b4995e9b,lenny,B,,1787729203,
vote_fb9045dae244d03476789c18,s2b_49f5cd3e0f9c5638aa0fb4b0,lenny,B,,1787729217,
vote_5bea46edda3d838918e1bbf5,s2b_4e07ed3711a6c3a332522041,lenny,Tie,"b is a bit far but i can see them beign ""video game boss music""",1787729259,
vote_5a57ddcb8c907c774a1cd9c5,s2b_4f2b16285982832b310c6715,lenny,Tie,,1787729263,
vote_d693c85c53325d459a18ad95,s2b_4f69dde42def9688fd2403e0,lenny,Tie,,1787729269,
vote_a578f14b6d6212d7eaae3250,s2b_4f81369278b5573bdf6107ef,lenny,A,,1787729283,
vote_0449e3a48c94aa9be605bdc4,s2b_4fd02e77fe051e8f446ed67b,lenny,Tie,,1787729287,
vote_dda97fdc8cdb5b3c23785b18,s2b_50663802fa3c68912fddbcac,lenny,B,,1787729291,
vote_71be3203e42f594ec1e96ac5,s2b_506922e2a5a16f7f0e0989ed,lenny,Tie,,1787729297,
vote_da95947e2aa7af4c9dd6ebe4,s2b_50a94d64f95b2e20686330b1,lenny,A,,1787729306,
vote_c5633beea50b4b0beb97b646,s2b_5159375ca7df39761dbc28aa,lenny,A,,1787729321,
vote_9fe5d6aa0568b843966b5404,s2b_52c9a61be74e8a13fd87f14e,lenny,Neither,q sounds like lofi hip hop whereas a is closer but sounds like r&b or blues almost,1787729357,
vote_3be834d31480561f4791d46b,s2b_53013c357988890de611b8e7,lenny,Tie,,1787729361,
vote_f80397988fcee154ef2b5a17,s2b_5403c8e70620eab9197ec0d7,lenny,A,a sounds like more hiphop but close to lofi hip hop like q,1787729386,
vote_5e1b14d4b87a2d4c0b401946,s2b_543bfe67c0cb696fa24e2431,lenny,Neither,,1787729398,
vote_b2130df3ff7e55db9d6d304d,s2b_55965a936e2e300558741bfc,lenny,Tie,,1787729406,
vote_e144cf9eafed34f7961ff203,s2b_57edc12e110d36cbfd3c26a8,lenny,Tie,,1787729413,
vote_1bf3b66177a0426a44c5b74d,s2b_5897ad1e3c7683d29fd3e60b,lenny,Tie,,1787729421,
vote_5138840e6e31006ddb3878a3,s2b_5a44870d32779d2fc2254204,lenny,B,i can see being the same genre almost as q,1787729444,
vote_dfd7998ee36a7ea3d975118f,s2b_5a8855ce7fbc3d35218024da,lenny,B,,1787729463,
vote_1b65c921be50d8ca7430b3f6,s2b_5b4e5396a455575beb8098e1,lenny,Tie,a and b have the same eerie sound as q but b a little more,1787729483,
vote_059f7341797f685005813c4c,s2b_5c36a6a7d584ff2d7ce88742,lenny,B,,1787729492,
vote_916b6ebb76477b5460481acf,s2b_5d4b1d3f8b0d6385141815e2,lenny,B,a and b are similar but b is more upbeat like the query,1787729527,
vote_1865a66d1e342fbb15a873a7,s2b_5d6460eeb306f111e9b7f1e1,lenny,A,,1787729533,
vote_2a173555a1d9395ed254cb62,s2b_5e823418e473d5db6699a2de,lenny,A,,1787729540,
vote_ba10b23cc8963e17eda060eb,s2b_5ea352656de204c4931658e6,lenny,A,,1787729545,
vote_e5578664af373f947645dbec,s2b_5ee4ddeada91eea2cc36942c,lenny,A,,1787729554,
vote_44a7d30e1d3a554b9c104f99,s2b_5ee4ddeada91eea2cc36942c,lenny,Neither,,1787729560,vote_e5578664af373f947645dbec
vote_82f3121501711f657b864ae0,s2b_5ee4ddeada91eea2cc36942c,lenny,Neither,not too sure on this one they almost sound similar to q?,1787729574,vote_44a7d30e1d3a554b9c104f99
vote_e4a043ae086a768492ea5ea4,s2b_5f58ca9cf614840bbe68502c,lenny,Tie,,1787729575,
vote_ba0efac83326dec4288a486c,s2b_5f58ca9cf614840bbe68502c,lenny,Neither,,1787729577,vote_e4a043ae086a768492ea5ea4
vote_2f7c0487b2e3f0323d94091d,s2b_5ffe4fd98f734ec2fa17d544,lenny,A,b is very close but a has a closer vibe,1787729595,
vote_75ec24a92d5680dae5cd76ca,s2b_60e30f48e8ed20b7676b6789,lenny,A,,1787729604,
vote_b9edb7c3ca10225b1f1206d5,s2b_6120c24e46a4870799adef51,lenny,A,,1787729611,
vote_3d15c37a3e8e6c594504f46a,s2b_61b876a37d5be9d72d227593,lenny,A,,1787729616,
vote_24c9724621fb1c610edeb852,s2b_63126af2681268860b842f76,lenny,Neither,,1787729621,
vote_0141b2a9c74cf3b11250ba0a,s2b_63cdc53052207679925ea6d9,lenny,A,,1787770887,
vote_d35c1cbf08042eea0574ee37,s2b_661e60dec2349784edf91a0f,lenny,A,i can see them both being the same category,1787770905,
vote_f143c798b80060091127149d,s2b_6a9c96fe65c180c9301ceba5,lenny,B,i can see all 3 being scary video game music,1787770930,
vote_9ab3ab551eb092d92667dedb,s2b_6b4dbf80a0a47bd4a2ddfef5,lenny,A,,1787771147,
vote_1adcac753c89910ab0f6e761,s2b_6bb1f3d968654528bc7f7f57,lenny,B,,1787771151,
vote_e89049a57ed0cd4695138229,s2b_6bbf981ad6957e05ecf53b39,lenny,Tie,,1787771160,
vote_a70fb226b797b8406b54239d,s2b_6d2952b9961a1a69a78c7bd8,lenny,A,,1787771164,
vote_7c44880a98f11cdf4449b081,s2b_6eacbd748f8378dd12c22f9a,lenny,B,,1787771184,
vote_7ab8b53616d82f39103b1c14,s2b_6ecc6fbcdc0959f277eda9ad,lenny,A,,1787771236,
vote_c6a31709b13938dc8108287f,s2b_717a5edae83fa19ca3f207d0,lenny,A,,1787771243,
vote_2ac5802c59ded8572de48ea1,s2b_71bc2d52911add1fd672d4bb,lenny,Tie,,1787771259,
vote_b035e0b55cb08ee9c5f55124,s2b_7259b55a730f0e4a9bae5b9a,lenny,B,,1787771286,
vote_952bec002392fefcb5e272a8,s2b_72935fb5c9ec2f6e013c367f,lenny,Tie,,1787771302,
vote_79f4357ef07963035a3140de,s2b_7353f10c636ef7679010bf98,lenny,Tie,,1787771307,
vote_09791d4e6006f3b6e3eee224,s2b_798c7b1d96fc5402d0022680,lenny,A,b has similar sounds but is much faster sounding than a and q which are relaxing wind chime sounding,1787771342,
vote_0a029d0efe53e66621019eee,s2b_7aacf93ca0668f0feadc7ea4,lenny,B,,1787771353,
vote_f5eb68476c88c00fd8b36615,s2b_7b4444b74c0938e5496d93ed,lenny,B,im not sure but leaning b,1787771397,
vote_f25288e656e4c09ee67bbe69,s2b_7b7efe3cfa6e19a54d8ba0c3,lenny,Tie,,1787771403,
vote_d698a82d353b2c17fc5ae636,s2b_7da8feaf0272f3c1fa6475bb,lenny,B,i can see both being the same genre but b fits the vibe a bit more,1787771838,
vote_dc59a469b427138233646af7,s2b_809d0abdf3837c2f3f6a0389,lenny,A,b's beats have a similar sound to q but it has lyrics so a is closer,1787771938,
vote_3f4003e3bf5108bc4698fd58,s2b_80d23a199dc4cbd5e2ce18c3,lenny,B,,1787771957,
vote_9d44a5a34a4fe27a959ce88e,s2b_8679fa309cf0447fd55e1976,lenny,Tie,,1787771962,
vote_3c2346788c55da5d74efefbe,s2b_876008cc557f384cbb8527cf,lenny,B,b is closer but they both have similar vibe to q,1787772213,
vote_348d9a51f978a0c704867389,s2b_876714a8f4f760e9514160a1,lenny,B,,1787772221,
vote_097b67fa052e358ab1cfe986,s2b_87a0075f4b9fdb212922f703,lenny,B,,1787772228,
vote_b2c958ca37aba04448964454,s2b_8837f20a769aab0224eca7af,lenny,Tie,they both sound like edm/house music,1787772257,
vote_f45f564fecc5262ad7b9160b,s2b_889cf261cb931d7fd370abd2,lenny,Neither,a and b have similar insturments but i think q is more upbeating and rising,1787772553,
vote_e72c38a8de00302cc6aac811,s2b_88cd7af731bdf13477aa8ff7,lenny,A,,1787772565,
vote_3caf51452768b11aa0ad4640,s2b_88e39975834e928cc0f6109b,lenny,Tie,,1787772573,
vote_54500a7c0dc28ae5c512a149,s2b_88edab509225f26f8ea64389,lenny,B,,1787772582,
vote_390d55624a8787a901dfb645,s2b_8938b1dd98eff323ec5179e5,lenny,A,,1787772594,
vote_5f58e8451696fbcbdf172a9a,s2b_8a27b0064b156d85f455eb35,lenny,Neither,the intro to b sounds similar but once the lyrics the vibe of the song changes,1787772661,
vote_1db8ce60f2efb3559a5caac9,s2b_8d45ed6049ff21650a51ba50,lenny,Tie,,1787772679,
vote_a82cc27e6c6949a5ca4bce7a,s2b_8da19b5ff2dd3a13f415dea5,lenny,B,,1787772695,
vote_a9b0db4383c5ffc6f51600f8,s2b_8e44cca24a1744fdce6ad7a2,lenny,Tie,,1787772750,
vote_6eee58886cf7dbbe68fc173e,s2b_8e9f209ab85e30b95a9e23cd,lenny,B,,1787772772,
vote_5566bfce9d596bddbb0a0c2b,s2b_8fc435d94f0931ca0e700889,lenny,Tie,,1787772777,
vote_eeb99d789285ab49277350c5,s2b_922d4c28311b8f5737759d11,lenny,Tie,,1787772875,
vote_d435622aba369052672c2628,s2b_9259ac50ab74ae802a979140,lenny,Neither,the q is like jungle sounds whereas a is people talking and b is like jungle music i guess?,1787772956,
vote_5781ba03a8e290da127a683b,s2b_936bb1ba2a652581aa2aad08,lenny,B,,1787772977,
vote_c4edb29fd7c87c516162c3a4,s2b_9594e182eeb7fbe7d5d35b5b,lenny,A,,1787773001,
vote_06301b171ef81e936a3a4d10,s2b_9697216e862302b6deb68193,lenny,Neither,q is an ocean sound whereas a is like metal scraping or an industrial working area and b is a quiet night a has similar sounds to q i would guess,1787773162,
vote_aeb02184ee10e76534ca0099,s2b_9707d2ae6cb447efebec05cd,lenny,Tie,,1787773166,
vote_0577b4857ad1b38b4200dbb6,s2b_98165a35d17b222e3b705dd2,lenny,A,,1787773172,
vote_1b980afa8084c8ddfba98652,s2b_9a49579d95e8ae38d4173c85,lenny,Tie,a is closer but all 3 are similar,1787773189,
vote_1491f6b753b4da40f89181e2,s2b_9accf11177fafb80e60784fd,lenny,Tie,,1787773198,
vote_9a7c3103c70800c2ad958a01,s2b_9ce611cea9c1286aceabeb7c,lenny,A,all 3 are eerie sound but a sounds similar to q,1787773347,
vote_154a667efb858da52d35188e,s2b_a0a2eeba2fd29378d6af1311,lenny,A,,1787773469,
vote_80d760cbeb85633315426286,s2b_a1391f11e2541875976a8aa0,lenny,A,,1787773473,
vote_66b6b377b6b8d8eb6ffd8e45,s2b_a154b6eeb425d6b47f20efb8,lenny,B,,1787773502,
vote_b2579db41904917cd64a57c5,s2b_a157c7f34fca2e0a5643ba06,lenny,A,,1787773572,
vote_a8d6668ea714a03442fe667a,s2b_a20edab94e9a2d967a66bb7c,lenny,Tie,,1787773654,
vote_a6a8c34eca4194381d5a7f71,s2b_a29c58e1925f3c4ffdad9c0e,lenny,Tie,all 3 sound like rnb/soul music,1787773676,
vote_1b9d76f0b6b48f5c3047d9e4,s2b_a2a3ded8503e579320427419,lenny,B,,1787773708,
vote_0898530a11c27adf45acf395,s2b_a31d06108a2be67924de174b,lenny,B,b sounds closer but i can see an arguement for either?,1787773752,
vote_a76fe3f58af788e9519bb98b,s2b_a6411ebbad91c768e5abe6a3,lenny,B,all 3 are for sure same genre but b is closer due to both b and q snippets being the beat drop,1787773867,
vote_cc029cd131cdb02b7ecf3acb,s2b_a66748012a5430d452684822,lenny,A,,1787773912,
vote_bba1169d7ad9263210a8fa7b,s2b_a680d500576d7bddce9df1d5,lenny,Tie,,1787773930,
vote_991dac02b33830c910bcce70,s2b_a83da4902c1a787da1a2cf18,lenny,B,,1787773936,
vote_0a366d4aa4c0834782978255,s2b_aa7c28f0b980e94ef6ebbe6b,lenny,A,i can see all 3 being the same genre but a seems closer to me,1787774014,
vote_c996d3f7f1a0e748294fdeac,s2b_abec375934ebd0875b720fab,lenny,B,,1787774019,
vote_b2d1a4387578c653d8a3923b,s2b_abfa4cd6f98489b561387a9d,lenny,B,,1787774063,
vote_cbc27d45d6aecb743fffd2a2,s2b_ac40d86264a8b267e9d4f39e,lenny,A,,1787774087,
vote_f5e91785d3bdf27d072b5958,s2b_ad1b24aed2137f475243ecc4,lenny,B,i can see all 3 beign same genre im just leaning b more right now,1787774149,
vote_49aedaf4159770e0234a938f,s2b_ad635bd3484e19ee057024b2,lenny,A,,1787774152,
vote_aa18a4e27558136de7cab12f,s2b_add99fd176431afb5a55ce08,lenny,A,im not sure i would lean a maybe its just snippet bias,1787774360,
vote_3713392c5f61b0e0be22cd46,s2b_ae8d5e47490e63db46b6c7ab,lenny,Neither,,1787774367,
vote_99f623ec7f060f00603779a8,s2b_aeb34fc8a53aade4dd6b2ddd,lenny,B,i can see a being same type of music b is just closer,1787774390,
vote_61985eb42d493942b1dc9a4d,s2b_b051b711d14dee714cb8fd13,lenny,B,,1787775687,
vote_7e88ce2df1a976dee11ac9b9,s2b_b1abe27ccd9f8959d2fcbffc,lenny,B,they sound all the same genre but b is closer,1787776882,
vote_39f46d7a92d6c49d3732f64f,s2b_b38a4584db2e084b0bf0db2e,lenny,B,,1787777236,
vote_19502904106f5bab1fff63b5,s2b_b42dda3519daf2fdfb4b7723,lenny,A,,1787777266,
vote_bc1fd277e6787f34c09e470b,s2b_b6fb16c729ba5cb96f7cebfa,lenny,B,,1787777275,
vote_773f481b1f40a5e6569c365d,s2b_ba0121de5f25c7a86d2a5a5c,lenny,Tie,,1787777463,
vote_12bbc5d75ec277cdc7d76249,s2b_ba43a66e71840ed8916ec971,lenny,Tie,,1787777572,
vote_01d44d01b5cdda13df8ea664,s2b_bb70d043252bf254295ed0ed,lenny,B,,1787777583,
vote_c88ccab3df26863d2464c8fd,s2b_c23e00152b7624ebd8337c41,lenny,A,,1787777592,
vote_cc39176bb5b3fd45b72a87ca,s2b_c25ccd886fff97bad0bdf6b2,lenny,B,,1787777797,
vote_06205961ce97b23332623fcd,s2b_c2e3200efe90bfed82dc379a,lenny,A,i can see all 3 being ismilar but a sounds closer to me,1787777812,
vote_8f8bfabdee488162c9dbee42,s2b_c49522b83069607bca127588,lenny,Tie,,1787777817,
vote_092d4b67e07f1376ddb7b342,s2b_c5bbd3f06c3b00cda5d89132,lenny,A,,1787777823,
vote_d7fb8572bf300334c40d4924,s2b_c678e6ab5b9e8987a5f9a274,lenny,A,,1787777833,
vote_396f6d0fc7cb7f6a44aa2844,s2b_c6eec90a5913839296b642cf,lenny,B,,1787777839,
vote_e57f783c81e834e6c2411b29,s2b_c96db2e905b5f7c46163f5b4,lenny,A,,1787777914,
vote_a67fea73ebea116dfd5c9078,s2b_c9dce7785c3326c933ffa27c,lenny,A,,1787777917,
vote_0617d9022108c36f14ab09ab,s2b_c9de017df9d6ff1bcfaf0677,lenny,A,,1787777922,
vote_68316c26e5682a3ddadf88ed,s2b_ccb45cfc629f36a7fe4d6bee,lenny,B,,1787777930,
vote_91bf158de8cf01e503fc96fa,s2b_cd9348d79cb5ecd70024e779,lenny,B,i can see a being simmilar but b is just a bit closer,1787777948,
vote_3dc477c185ec2118d4a13726,s2b_cef8a47f5e20328a843a7838,lenny,B,,1787777992,
vote_796bf3ef6f11e49b09a1cc23,s2b_cef8a47f5e20328a843a7838,lenny,A,,1787778004,vote_3dc477c185ec2118d4a13726
vote_3aeb4eb927e6b2c85fbcacd3,s2b_cf6e6acc52d55ab1c52b076b,lenny,B,,1787778035,
vote_05bd575de4d559d42cc496c8,s2b_cffbe4c2aa0e242a6e1668bb,lenny,Tie,,1787778039,
vote_940885a0b5ea40a2afe0dbe1,s2b_d0678bf47d1a0f9d90efe0a8,lenny,Tie,,1787778055,
vote_9b4dd07917389d22333fd9bf,s2b_d2045d5bb083561af1be47cd,lenny,A,,1787778063,
vote_023477e553136bcfc6034574,s2b_d2a7e2b99f8ada82198ee6ea,lenny,Tie,,1787778068,
vote_2c20ee77fd46152b9b0d2205,s2b_d3921ae3dd595c720398e05d,lenny,Tie,,1787778274,
vote_cedaa58ef66bed72e30e93a0,s2b_d461af19d47b11c7bf53d86d,lenny,A,,1787778509,
vote_f5f5a05bd6381fed064250f2,s2b_d665810c987729fdf04a66c1,lenny,B,,1787778517,
vote_479e7a5993609671439d20a4,s2b_d6eedfbd3de57320f2668934,lenny,Tie,,1787779146,
vote_518cc635fe0a756f4b9eef2d,s2b_d73624bbd956e3696d923e0d,lenny,Tie,,1787779253,
vote_531a29280ad1aaa777103ee0,s2b_d7f6db43e9a4c1fdb75b5721,lenny,B,,1787779261,
vote_7a0b197386f9f82b07935837,s2b_d827fd0f2c8b958b25ae9998,lenny,A,,1787779266,
vote_407122e7647b25b91ec534ef,s2b_d85b4bc41867b2cf5b268732,lenny,Tie,,1787779273,
vote_c67c9ef387aaa566ae574a61,s2b_d98bf5d11ca984a294af1eeb,lenny,Tie,,1787779280,
vote_e8aa6418f00b7a94e37d5320,s2b_da87af4069b68c19a350e05f,lenny,A,,1787779287,
vote_859855e9fce4b0123e801e1f,s2b_db0cc315c3c0fff6c13a567f,lenny,Tie,all 3 seem similar enough,1787779384,
vote_70b2dbda562d64f2132775ca,s2b_ddfedc4937838f08ecf3846c,lenny,A,,1787779389,
vote_cb02ecd8cbb9d53b8b554f1a,s2b_dee7a61d182f6337f074c31b,lenny,Tie,these seem like the same genre too,1787779403,
vote_6db1dab77e840300231bd0e0,s2b_df71384933cee93b33d8934f,lenny,A,,1787779409,
vote_0fed5b8eface7c4afdb4d670,s2b_e03d8a07ad7f341943b2a1d0,lenny,A,,1787779414,
vote_954316827849dd518a8a5593,s2b_e1a2d821c8652b0966ebe6c6,lenny,A,these seem like the same genre too of edm but a snippet is slightly closer?,1787779464,
vote_4a9c5585b63ffaa1b46cab20,s2b_e2c54f5defc2e4d6260bcd8a,lenny,A,,1787779468,
vote_e86dd5cf148b2872d9450913,s2b_e31d22422386a0312c1f34ff,lenny,B,a seems to have same instruemntals but b is more lofi/like q,1787779498,
vote_b8d38fc3f8650aa2cd6111e8,s2b_e4f56bc33f90599bd6259a4c,lenny,Tie,,1787779502,
vote_4aa7b44b76633c41735b239b,s2b_e535accd899744a70901f8f9,lenny,B,,1787779527,
vote_b7120798c5fab1eabf36712a,s2b_e6ba7a0fa7332528b79f8d9d,lenny,Neither,,1787779539,
vote_3397b8dada080ad97887c92b,s2b_e6c69206ff2aefe3944df70a,lenny,A,,1787779553,
vote_d7c1c354ae6baa2a616d4b22,s2b_e6fa2d1d32fc7240768eca7a,lenny,A,,1787779557,
vote_7825e4741f2d757cb5564b82,s2b_ec1a056d94b2b658a58c1bac,lenny,B,all 3 sound similar to me,1787779762,
vote_e0c902570feceadebc1f6af4,s2b_ec1a056d94b2b658a58c1bac,lenny,Tie,all 3 sound similar to me,1787779764,vote_7825e4741f2d757cb5564b82
vote_e5a181d5eff98524c10fc136,s2b_ec8b3bd2cb379f35e8a844e6,lenny,B,,1787779771,
vote_f30de7fd98e536946ff2129e,s2b_eca3fda18150374d252c4920,lenny,A,,1787779817,
vote_b844c5fa8c0bf6ed282b1b52,s2b_eebab5b9699984f6f0be4672,lenny,Tie,,1787779826,
vote_f5da71ef70ed5f951c4070d0,s2b_f0da95beedc77627ccd94b51,lenny,Neither,,1787779847,
vote_a0e78ddb957d384931921f75,s2b_f21cf4def276166a66a08553,lenny,A,,1787779856,
vote_28cbce9b718ed60062b53000,s2b_f24cd189c9e0307e8e99dfcb,lenny,A,,1787779862,
vote_2e8a827002139afa64be82c6,s2b_f35829e97c3a1271e40cc67b,lenny,Neither,,1787779873,
vote_cd0a236d0414aa3bd7f19507,s2b_f4cae326a8d3bdea96597b14,lenny,A,a is slightly closer to q but b is similar too,1787779900,
