review_schema_version,benchmark_id,spotify_track_id,expected_title,expected_artists,expected_album,expected_duration_seconds,expected_release_year,search_query,youtube_rank,candidate_video_id,candidate_url,candidate_title,candidate_uploader,candidate_channel,candidate_duration_seconds,candidate_view_count,candidate_description,candidate_review_label,candidate_note,track_note
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_004,2ZlzUxSV0Pir7oBn28OZCg,Growls and Purrs,JO YURI,Growls and Purrs,199.026,2025,Growls and Purrs JO YURI,2,0G59esvIkhc,https://www.youtube.com/watch?v=0G59esvIkhc,JO YURI Growls and Purrs Lyrics (Color Coded Lyrics),Chaereve,Chaereve,200.0,8772,All Administrated by WAKEONE Ent. ............................................................................. Artist: JO YURI Song: Growls and Purrs ...,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_004,2ZlzUxSV0Pir7oBn28OZCg,Growls and Purrs,JO YURI,Growls and Purrs,199.026,2025,Growls and Purrs JO YURI,3,7u51HnmMmFM,https://www.youtube.com/watch?v=7u51HnmMmFM,JO YURI (조유리) - Growls and Purrs (개와 고양이의 시간) | Show! MusicCore | MBC250726방송,MBCkpop,MBCkpop,201.0,50239,JO YURI (조유리) - Growls and Purrs | Show! MusicCore | MBC250726방송 #JOYURI #GrowlsandPurrs #MBCKPOP More ...,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_005,7hXr2dYT2klCv6BNBkpSAe,take me away,hateful,take me away,168.032,2019,take me away hateful,1,e9KRzsDOKDk,https://www.youtube.com/watch?v=e9KRzsDOKDk,hateful - take me away,hateful,hateful,168.0,14023,"hey! this is my biggest project so far, ive been working so much on this haha. it was first just gonna be a small little cute song with ...",IDEAL,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_005,7hXr2dYT2klCv6BNBkpSAe,take me away,hateful,take me away,168.032,2019,take me away hateful,2,FU9Gfd2R4Ls,https://www.youtube.com/watch?v=FU9Gfd2R4Ls,take me away,hateful - Topic,hateful - Topic,169.0,21302,Provided to YouTube by DistroKid take me away · hateful take me away ℗ hatefulbeats Released on: 2019-02-08 Auto-generated ...,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_005,7hXr2dYT2klCv6BNBkpSAe,take me away,hateful,take me away,168.032,2019,take me away hateful,3,Xw7UWF4a7Ys,https://www.youtube.com/watch?v=Xw7UWF4a7Ys,hateful - take me away,College Music,College Music,169.0,36522,"hateful - take me away take me out of here, just take me somewhere.. Follow College Music: ○ Spotify ...",,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_006,1Z9JUXZncWO4UOIqFcx3DE,Please don't stop being sweet to me,lace,echo of a star,350.0,2025,Please don't stop being sweet to me lace,1,W3Go9AidGyc,https://www.youtube.com/watch?v=W3Go9AidGyc,Please don't stop being sweet to me,lace,lace,350.0,588186,Provided to YouTube by Virgin Music Group Please don't stop being sweet to me · lace Please don't stop being sweet to me ...,IDEAL,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_006,1Z9JUXZncWO4UOIqFcx3DE,Please don't stop being sweet to me,lace,echo of a star,350.0,2025,Please don't stop being sweet to me lace,2,rCwWNq9KqHw,https://www.youtube.com/watch?v=rCwWNq9KqHw,lace - please don't stop being sweet to me (lyrics),Vash Black,Vash Black,295.0,2889,"a bit late to make a video about lace's second song:/ i dedicate this to my cat, cream if you want to support this channel feel ...",,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_006,1Z9JUXZncWO4UOIqFcx3DE,Please don't stop being sweet to me,lace,echo of a star,350.0,2025,Please don't stop being sweet to me lace,3,FVjZsxpL6QI,https://www.youtube.com/watch?v=FVjZsxpL6QI,lace - Please don't stop being sweet to me,IndiETrap,IndiETrap,351.0,4505,Follow https://www.instagram.com/lacehl •••••••••••••••••••••••••••••••••••••••••••••••••• If you are an owner of any of the content and would ...,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_007,3go5iX7Ad1IqlBXrIzYexX,POSE!,LIGHTSUM,POSE!,154.746,2024,POSE! LIGHTSUM,1,TKGovwXRDfU,https://www.youtube.com/watch?v=TKGovwXRDfU,LIGHTSUM(라잇썸) - 'POSE!' Official Music Video,LIGHTSUM 라잇썸 (Official YouTube Channel),LIGHTSUM 라잇썸 (Official YouTube Channel),157.0,8136203,LIGHTSUM(라잇썸) - 'POSE!' Official Music Video [  ] LIGHTSUM Digital Single [POSE!] KR https://lnkfi.re/LIGHTSUM_POSE ...,IDEAL,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_007,3go5iX7Ad1IqlBXrIzYexX,POSE!,LIGHTSUM,POSE!,154.746,2024,POSE! LIGHTSUM,2,GRCaR2Ll-Zs,https://www.youtube.com/watch?v=GRCaR2Ll-Zs,LIGHTSUM POSE! Lyrics (Color Coded Lyrics),Chaereve,Chaereve,158.0,78498,All Administrated by CUBE Ent. ............................................................................. Artist: LIGHTSUM Song: POSE! Album: POSE!,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_007,3go5iX7Ad1IqlBXrIzYexX,POSE!,LIGHTSUM,POSE!,154.746,2024,POSE! LIGHTSUM,3,MD-5H3L9Glw,https://www.youtube.com/watch?v=MD-5H3L9Glw,LIGHTSUM(라잇썸) - 'POSE!' (Choreography Practice Video),LIGHTSUM 라잇썸 (Official YouTube Channel),LIGHTSUM 라잇썸 (Official YouTube Channel),166.0,126999,LIGHTSUM(라잇썸) - 'POSE!' (Choreography Practice Video) [  ] LIGHTSUM Digital Single [POSE!],,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_008,21L7bgwJcZk1E7dxq1m1FI,Tears in your eyes,MICO,Internet hometown hero,163.877,2024,Tears in your eyes MICO,1,UbRYpFobcYg,https://www.youtube.com/watch?v=UbRYpFobcYg,MICO - Tears in your eyes [official lyric video],MICO,MICO,164.0,866005,Stream / download 'Internet hometown hero' here: https://stem.ffm.to/internethometownhero See me on tour: ...,IDEAL,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_008,21L7bgwJcZk1E7dxq1m1FI,Tears in your eyes,MICO,Internet hometown hero,163.877,2024,Tears in your eyes MICO,2,TW-CnUFKjLk,https://www.youtube.com/watch?v=TW-CnUFKjLk,MICO - tears in your eyes (Lyrics),静的 Static,静的 Static,165.0,53702,"Listen to ""tears in your eyes"" by MICO https://open.spotify.com/track/21L7bgwJcZk1E7dxq1m1FI MICO ...",,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_008,21L7bgwJcZk1E7dxq1m1FI,Tears in your eyes,MICO,Internet hometown hero,163.877,2024,Tears in your eyes MICO,3,qjwGpo1YuUg,https://www.youtube.com/watch?v=qjwGpo1YuUg,MICO - Tears in your eyes (Lyrics),TM lyric videos,TM lyric videos,165.0,658,"bringing you all the feels from the best asian artists from the west & beyond ps. if these songs hit deep, tell ur crush “i tiramissu"".",,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_009,4GUqcCrsISpXTbiAFz6FcO,Bye Bye My Blue,Yerin Baek,Bye Bye My Blue,203.409,2016,Bye Bye My Blue Yerin Baek,1,WbhK3wMXluE,https://www.youtube.com/watch?v=WbhK3wMXluE,"Yerin Baek(백예린) ""Bye bye my blue"" M/V",JYP Entertainment,JYP Entertainment,207.0,16942657,"Yerin Baek(백예린) ""Bye bye my blue"" M/V Download and Listen to Yerin Baek(백예린) ""Bye bye my blue"" iTunes: ...",IDEAL,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_009,4GUqcCrsISpXTbiAFz6FcO,Bye Bye My Blue,Yerin Baek,Bye Bye My Blue,203.409,2016,Bye Bye My Blue Yerin Baek,2,WwNefk-uSdg,https://www.youtube.com/watch?v=WwNefk-uSdg,"Bye Bye My  Blue - Baek Yerin (15&) Lyrics [Han,Rom,Eng]",TamTam Lyrics,TamTam Lyrics,204.0,205195,Bye Bye My Blue - Baek Yerin (15&) Lyrics Tamtam Lyrics.,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_009,4GUqcCrsISpXTbiAFz6FcO,Bye Bye My Blue,Yerin Baek,Bye Bye My Blue,203.409,2016,Bye Bye My Blue Yerin Baek,3,yfykUBbEYHk,https://www.youtube.com/watch?v=yfykUBbEYHk,230521 백예린 'Bye bye my blue' 직캠 Yerin Baek fancam 가사 자막 @ 단독공연 Square by Jinoo,Jinoo 95,Jinoo 95,207.0,44293,영상의 편집 / 재업로드를 금지합니다. DO NOT EDIT / RE-UPLOAD this video * #백예린 #YerinBaek #Byebyemyblue 촬영 날짜: ...,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_010,4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,Up All Night,199.986,2012,What Makes You Beautiful One Direction,1,QJO3ROT-A4E,https://www.youtube.com/watch?v=QJO3ROT-A4E,One Direction - What Makes You Beautiful (Official Video),One Direction,One Direction,207.0,1730884664,One Direction – What Makes You Beautiful (Official Video) Follow on Spotify - https://1D.lnk.to/Spotify Listen on Apple Music ...,IDEAL,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_010,4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,Up All Night,199.986,2012,What Makes You Beautiful One Direction,2,mfavkCY52MI,https://www.youtube.com/watch?v=mfavkCY52MI,One Direction - What Makes You Beautiful(Lyrics)🎵,MSCLyrics,MSCLyrics,215.0,28124287,One Direction - What Makes You Beautiful (Lyrics)   Dont forget to Subscribe and press (  ) to join the Notification stay ...,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_010,4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,Up All Night,199.986,2012,What Makes You Beautiful One Direction,3,UlANZSYZ2Js,https://www.youtube.com/watch?v=UlANZSYZ2Js,One Direction - What Makes You Beautiful (Audio),One Direction,One Direction,201.0,2891428,One Direction - What Makes You Beautiful (Official Audio) Follow on Spotify - https://1D.lnk.to/Spotify Listen on Apple Music ...,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_011,4T2cOfemKB0owJS2JOu7dF,Can I Love ? (feat. youra & Meego),Cosmic Boy | youra | Meego,Can I Love ?,229.75,2019,Can I Love ? (feat. youra & Meego) Cosmic Boy,1,ujCdcX6o3e0,https://www.youtube.com/watch?v=ujCdcX6o3e0,"Can I Love ? (feat. youra, Meego)",Cosmic Boy,Cosmic Boy,230.0,17235153,"Provided to YouTube by STONESHIP / ADA Can I Love ? (feat. youra, Meego) · Cosmic Boy · Meego · youra Can I Love? ℗ 2019 ...",IDEAL,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_011,4T2cOfemKB0owJS2JOu7dF,Can I Love ? (feat. youra & Meego),Cosmic Boy | youra | Meego,Can I Love ?,229.75,2019,Can I Love ? (feat. youra & Meego) Cosmic Boy,2,_AvJrdVROgE,https://www.youtube.com/watch?v=_AvJrdVROgE,"Cosmic Boy 코스믹보이 - Can I Love? feat. Youra 유라, Meego 가사 Color Coded Lyrics Han|Rom|Eng",DDING,DDING,230.0,179691,"Artist: Cosmic Boy, Meego, Youra » Album: Can I Love? » Release Date: February 18, 2019 All rights administered by ...",,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_011,4T2cOfemKB0owJS2JOu7dF,Can I Love ? (feat. youra & Meego),Cosmic Boy | youra | Meego,Can I Love ?,229.75,2019,Can I Love ? (feat. youra & Meego) Cosmic Boy,3,WdDhmUw9pG8,https://www.youtube.com/watch?v=WdDhmUw9pG8,"Cosmic Boy - Can I Love ? (Feat. 유라(youra), Meego) / [DF LIVE])",Release - Topic,Release - Topic,230.0,43546,"Provided to YouTube by Collab Asia Music Cosmic Boy - Can I Love ? (Feat. 유라(youra), Meego) / [DF LIVE]) · 코스믹보이 DF ...",,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_012,1EebxBw5N5UC529NjVintP,Phosphorus Kiss,City Girl | santpoort,Somnolent Nova,186.595,2019,Phosphorus Kiss City Girl,1,KFGZwgL06-M,https://www.youtube.com/watch?v=KFGZwgL06-M,Phosphorus Kiss (feat. Santpoort),City Girl,City Girl,187.0,82307,Provided to YouTube by DistroKid Phosphorus Kiss (feat. Santpoort) · City Girl · Santpoort Somnolent Nova ℗ City Girl Records ...,IDEAL,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_012,1EebxBw5N5UC529NjVintP,Phosphorus Kiss,City Girl | santpoort,Somnolent Nova,186.595,2019,Phosphorus Kiss City Girl,2,ikVlUM07hqw,https://www.youtube.com/watch?v=ikVlUM07hqw,Unwind (feat. Tiffi),City Girl,City Girl,332.0,66441,Provided to YouTube by DistroKid Unwind (feat. Tiffi) · City Girl · Tiffi Goddess of the Hollow ℗ City Girl Records Released on: ...,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_012,1EebxBw5N5UC529NjVintP,Phosphorus Kiss,City Girl | santpoort,Somnolent Nova,186.595,2019,Phosphorus Kiss City Girl,3,TVNxamzCotA,https://www.youtube.com/watch?v=TVNxamzCotA,Dulcet Slumber (feat. Tiffi),City Girl,City Girl,245.0,87168,Provided to YouTube by DistroKid Dulcet Slumber (feat. Tiffi) · City Girl · Tiffi Goddess of the Hollow ℗ City Girl Records Released ...,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_013,3t563yjPK2gTe2cm8Rzf5M,I'm Still Holding On,City Girl,Asleep in Soft Ether,238.295,2024,I'm Still Holding On City Girl,1,EnQ4nszqz4o,https://www.youtube.com/watch?v=EnQ4nszqz4o,I'm Still Holding On,City Girl,City Girl,239.0,37262,Provided to YouTube by DistroKid I'm Still Holding On · City Girl Asleep in Soft Ether ℗ City Girl Records Released on: 2024-12-06 ...,IDEAL,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_013,3t563yjPK2gTe2cm8Rzf5M,I'm Still Holding On,City Girl,Asleep in Soft Ether,238.295,2024,I'm Still Holding On City Girl,2,RYu7ptBRDOQ,https://www.youtube.com/watch?v=RYu7ptBRDOQ,"ESG Feat. Bun B, Lil Flip, Lil O, Slim Thug, Dat Boi T & Trilly Polk ""Southside Still Holding Remix""",WORLDSTARHIPHOP,WORLDSTARHIPHOP,276.0,16596988,"Watch the official music video for ""Southside Still Holding Remix"" by ESG Feat. Bun B, Lil Flip, Lil O, Slim Thug, Dat Boi T & Trilly ...",,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_013,3t563yjPK2gTe2cm8Rzf5M,I'm Still Holding On,City Girl,Asleep in Soft Ether,238.295,2024,I'm Still Holding On City Girl,3,F_VsAvS1kuo,https://www.youtube.com/watch?v=F_VsAvS1kuo,City Girls - Act Up,City Girls,City Girls,205.0,90248592,"Music video by City Girls performing Act Up.© 2019 Quality Control Music, LLC, under exclusive license to UMG Recordings, Inc.",,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_014,6ZRkGwxywPUmjPLglrfqlq,R.U.N,Suzy,R U Next? Theme Song,194.775,2023,R.U.N Suzy,1,GQbojNHkovk,https://www.youtube.com/watch?v=GQbojNHkovk,수지 (Suzy) [R U Next? Theme Song] : 전속력으로 (R.U.N) Brand film,STONE MUSIC,STONE MUSIC,199.0,516134,수지 (Suzy) [R U Next? Theme Song] : 전속력으로 (R.U.N) Brand film [R U Next?] Brand film Director : N'ouir 1st AD : Wansun ...,IDEAL,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_014,6ZRkGwxywPUmjPLglrfqlq,R.U.N,Suzy,R U Next? Theme Song,194.775,2023,R.U.N Suzy,2,7wuYF1Ut8NY,https://www.youtube.com/watch?v=7wuYF1Ut8NY,Suzy (수지) - 'R.U.N (전속력으로)' [R U Next? Theme Song] Lyrics [Color Coded_Han_Rom_Eng],Zaty Farhani,Zaty Farhani,238.0,85979,By - Zaty Farhani Translation by ZF Team (selftitled) Thanks for watching! Please LIKE and SHARE this video! Don't forget to ...,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_014,6ZRkGwxywPUmjPLglrfqlq,R.U.N,Suzy,R U Next? Theme Song,194.775,2023,R.U.N Suzy,3,LSnssKWr56k,https://www.youtube.com/watch?v=LSnssKWr56k,[최종회] 파이널 진출 10인의 알유넥스트 테마곡🧡 ♬전속력으로,HYBE LABELS +,HYBE LABELS +,219.0,1500017,HYBE Next Girl Group Debut Project [R U Next?] #RUNext #알유넥스트 #RUN #런 Connect with R U Next? R U Next? Weverse ...,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_015,31inMSh6ThzDT0hZJboU6X,Read Me,HA:TFELT | punchnello,MEiNE,243.326,2017,Read Me HA:TFELT,1,uu3Rzl_dK_s,https://www.youtube.com/watch?v=uu3Rzl_dK_s,HA:TFELT - 'Read Me (Feat. PUNCHNELLO)' M/V,Amoeba Culture (아메바컬쳐),Amoeba Culture (아메바컬쳐),311.0,42163,"HA:TFELT - 'Read Me (Feat. PUNCHNELLO)' M/V

- Apple Music & iTunes : https://apple.co/2UYRD9z
- Spotify : https://spoti.fi ...",IDEAL,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_015,31inMSh6ThzDT0hZJboU6X,Read Me,HA:TFELT | punchnello,MEiNE,243.326,2017,Read Me HA:TFELT,2,yBy0vr-nYzg,https://www.youtube.com/watch?v=yBy0vr-nYzg,Lyrics [ENG/KOR] HA:TFELT - Read Me(나란 책) (Feat. PUNCHNELLO),YT Rhythm,YT Rhythm,244.0,2512,"Thank you for watching Please Subscribe ! YT Rhythm - This channel is to share some hidden, but terrific songs of Korea. So we ...",,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_015,31inMSh6ThzDT0hZJboU6X,Read Me,HA:TFELT | punchnello,MEiNE,243.326,2017,Read Me HA:TFELT,3,NwNX9xHzsKI,https://www.youtube.com/watch?v=NwNX9xHzsKI,[AUDIO/DL] 예은 :  핫펠트 (HATFELT) - 나란 책 (Read Me) (Feat. PUNCHNELLO),Listen To K-POP,Listen To K-POP,244.0,66560,DL : https://winx.kr/oWGl http://yobuilder.com/9PUM.,,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_016,0SYB5z2LTlUyebRnUQadtN,call you back,Ivoris | Snoozegod | keeplove.,call you back,161.201,2022,call you back Ivoris,1,qrGSReQXIms,https://www.youtube.com/watch?v=qrGSReQXIms,call you back,Ivoris,Ivoris,162.0,5062,Provided to YouTube by new age kids call you back · Ivoris · Snoozegod · keeplove. call you back ℗ 2022 new age kids Released ...,IDEAL,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_016,0SYB5z2LTlUyebRnUQadtN,call you back,Ivoris | Snoozegod | keeplove.,call you back,161.201,2022,call you back Ivoris,2,pNS4-Oaiezo,https://www.youtube.com/watch?v=pNS4-Oaiezo,"Call You Back (feat. Ivoris, Snoozegod & keeplove.) (Remix)",ih8tox - Topic,ih8tox - Topic,131.0,120,"Provided to YouTube by DistroKid Call You Back (feat. Ivoris, Snoozegod & keeplove.) (Remix) · ih8tox · Ivoris · Snoozegod ...",,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_016,0SYB5z2LTlUyebRnUQadtN,call you back,Ivoris | Snoozegod | keeplove.,call you back,161.201,2022,call you back Ivoris,3,y4unXG9MA4w,https://www.youtube.com/watch?v=y4unXG9MA4w,Ivoris - Call You Back (ToxicTheProducer Remix),ih8tox,ih8tox,131.0,110,"""My Heart Bled For You."" Original Song: https://www.youtube.com/watch?v=i58EGX-T_CA Vocals By Ivoris: SoundCloud: ...",,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_017,5fCKBIJ7BwaCpxxwZCbS5X,We got so much,LE SSERAFIM,EASY,165.748,2024,We got so much LE SSERAFIM,1,nvGnwC2T6Ek,https://www.youtube.com/watch?v=nvGnwC2T6Ek,LE SSERAFIM (르세라핌) 'We got so much' l Original Stage,LE SSERAFIM,LE SSERAFIM,430.0,836584,"Producer : Sungjin So Media Management : Hyungeun Kim, Jeonghwan Kim Production Director : Junsung Lee Creative Director ...",WRONG,length too long,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_017,5fCKBIJ7BwaCpxxwZCbS5X,We got so much,LE SSERAFIM,EASY,165.748,2024,We got so much LE SSERAFIM,2,Kw2faPNf00s,https://www.youtube.com/watch?v=Kw2faPNf00s,LE SSERAFIM We got so much Lyrics (Color Coded Lyrics),Chaereve,Chaereve,165.0,125245,All Administrated by Source Music ≈ Artist: LE SSERAFIM ≈ Song: We got so much ≈ Album: EASY ≈ Released: 2024.02.19 .,IDEAL,,
stage5b2-youtube-prior-human-review-v1,stage5b_youtube_prior_v1_017,5fCKBIJ7BwaCpxxwZCbS5X,We got so much,LE SSERAFIM,EASY,165.748,2024,We got so much LE SSERAFIM,3,pgFMFDH-Ol8,https://www.youtube.com/watch?v=pgFMFDH-Ol8,LE SSERAFIM - We got so much (Audio),Moonlight,Moonlight,166.0,25841,kpop #song #songs #music #hybe #lesserafim #album #newsong #kpopsongs.,,,
