trial_id,query_track_id,candidate_a_id,candidate_b_id,trial_kind,slice,canonical_label,label_status,raw_judgment_count,primary_eligible,exclusion_reason,excerpt_strategy,laion_clap_sim_a,laion_clap_sim_b,laion_clap_analysis_key,mert_5120_sim_a,mert_5120_sim_b,mert_5120_analysis_key,chroma_global_cos_sim_a,chroma_global_cos_sim_b,chroma_dtw_sim_sim_a,chroma_dtw_sim_sim_b,transposition_best_cos_sim_a,transposition_best_cos_sim_b,onset_cos_fixed_sim_a,onset_cos_fixed_sim_b,onset_dtw_sim_sim_a,onset_dtw_sim_sim_b,tempogram_cos_sim_a,tempogram_cos_sim_b,timbre_cos_sim_a,timbre_cos_sim_b,merit_melody_cos_sim_a,merit_melody_cos_sim_b,merit_rhythm_cos_sim_a,merit_rhythm_cos_sim_b,merit_timbre_cos_sim_a,merit_timbre_cos_sim_b,log_tempo_ratio_sim_a,log_tempo_ratio_sim_b,feature_cache_key_q,feature_cache_key_a,feature_cache_key_b
107027:H2,107027,129396,45125,competitive_rank2,competitive_rank2,Tie,CANONICAL,1,False,TIE,center5_v1,0.4519566412,0.6862648591,b0fee4bc6fd340e4,0.9817149477,0.982063118,8069b221c47dd7c0,0.8959210708,0.9465378021,0.01065304767,0.01069271311,0.9512029107,0.9668968,0.9980178375,0.9980178375,0.6495798054,0.6415501322,0.9454264993,0.9471902997,0.9927355379,0.9706043595,0.4525809074,0.6856280414,0.3150830153,0.8688126345,0.8507452743,-0.3411484408,-0.5436154466,-0,64af2009263e6a33b72c060bc743e1d4e38fff77b965e8d787786e4c24ef13cf,7564e4e57d4a0d7e2a610665644a590ec54070353508751be1956fd928e7e7f0,696cd51543f5b5b619e3da05b4697806c1326a5d6a595ef3d971d71613f9acc1
107249:H1,107249,11673,107256,disagree:laion_clap_vs_mert_generic,direct_disagreement,A,CANONICAL,1,True,,center5_v1,0.6209504609,0.8866911507,b0fee4bc6fd340e4,0.9755161586,0.9836654738,8069b221c47dd7c0,0.8558964851,0.9490237888,0.009699974655,0.01129375586,0.9755129798,0.9490237888,0.9950371902,0.9920179442,0.6365859852,0.660719207,0.9778291922,0.9829012591,0.9358992335,0.9740637837,0.4081667953,0.9061830773,0.6360405098,0.5951382116,0.6812640199,0.9777403973,-0.0953101798,-0.2762533766,01f7cced51838a7efbaf46a25bdba9667943d07bf12dcbb5a12401e79df75023,3100ec22835424b0f13393b110ca7e963461ff0abe6d17353d7f62d18a8efffb,f80b7e96bb98445cd0b507749f5a8a3a28bc96cd04f4e3e7c9af42deab8274ee
107249:H2,107249,129268,56646,competitive_rank2,competitive_rank2,B,CANONICAL,1,True,,center5_v1,0.8224278536,0.7463993207,b0fee4bc6fd340e4,0.9706214063,0.9804484517,8069b221c47dd7c0,0.9437292369,0.8739316936,0.01203183815,0.009788286461,0.9437292369,0.9481432582,0.9950371902,0.9950371902,0.6470429953,0.653339522,0.9477714984,0.9422349085,0.9659323618,0.9714399352,0.2271408632,0.2963895915,0.6520381715,0.5409293752,0.8341554895,0.9165296709,-0.08701137699,-0.04652001563,01f7cced51838a7efbaf46a25bdba9667943d07bf12dcbb5a12401e79df75023,821b5cdd74c60e47a950fcac5088f182135d322cb83cbdae339e6594f9228917,4cf51c3e163351f8603c2b06e13134b5ea8da1ad82bb81ab2c9e52721ff24c46
107249:H3,107249,60537,56646,competitive_rank2,competitive_rank2,B,CANONICAL,1,True,,center5_v1,0.6693515288,0.7463993207,b0fee4bc6fd340e4,0.9801102509,0.9804484517,8069b221c47dd7c0,0.9491351616,0.8739316936,0.01414559347,0.009788286461,0.9491351616,0.9481432582,0.9970134329,0.9950371902,0.6530343813,0.653339522,0.9639297258,0.9422349085,0.982697288,0.9714399352,0.5540164962,0.2963895915,0.6691168146,0.5409293752,0.8885272556,0.9165296709,-0.08701137699,-0.04652001563,01f7cced51838a7efbaf46a25bdba9667943d07bf12dcbb5a12401e79df75023,891b7943bc225f628f353c921b4d4f45d514ad49a4489c4e353189cefa018fdf,4cf51c3e163351f8603c2b06e13134b5ea8da1ad82bb81ab2c9e52721ff24c46
107249:H4,107249,107256,108884,anchor_negative,anchor_negative,A,CANONICAL,1,False,,center5_v1,0.8866911507,0.2861906998,b0fee4bc6fd340e4,0.9836654738,0.9179354608,8069b221c47dd7c0,0.9490237888,0.7527269365,0.01129375586,0.01027445798,0.9490237888,0.7527269365,0.9920179442,0.9950371902,0.660719207,0.6658357816,0.9829012591,0.9805938329,0.9740637837,0.9254633585,0.9061830773,0.2469119874,0.5951382116,0.7360272176,0.9777403973,0.7113809626,-0.2762533766,-0.4643056081,01f7cced51838a7efbaf46a25bdba9667943d07bf12dcbb5a12401e79df75023,f80b7e96bb98445cd0b507749f5a8a3a28bc96cd04f4e3e7c9af42deab8274ee,378777f46f09ad8d9c065cf6c4dd7a3e4d2c8cf9495d0bfc3a96d927f8e303b3
110262:H1,110262,60548,107189,disagree:laion_clap_vs_mert_generic,direct_disagreement,B,CANONICAL,1,True,,center5_v1,0.3669251598,0.821668022,b0fee4bc6fd340e4,0.9608817016,0.9614323007,8069b221c47dd7c0,0.7630103422,0.9463226891,0.009050035757,0.01213484033,0.8956505235,0.9463226891,1,1,0.6475039059,0.6301804982,0.9783579252,0.9301544221,0.7345628951,0.9245582177,0.1170782458,0.5557223383,0.2681467506,0.4710466063,-0.1306754968,0.6396640126,-0.0953101798,-0.0953101798,09172cb858e0c92ec4e5f5e5ad6872cd6209da8688c40f5208251eef190a7493,5467cccc583b98fd975132018f120a670d5d11bc40ef809b3a6ffbac142810cf,1e83819c238d0e63b942d62a8555f588bd95ecd9c8e80690daf6fb7415594900
110262:H2,110262,107181,60548,disagree:mert_5120_vs_mert_generic,direct_disagreement,A,CANONICAL,1,True,,center5_v1,0.6696691197,0.3669251598,b0fee4bc6fd340e4,0.9709473649,0.9608817016,8069b221c47dd7c0,0.7420484388,0.7630103422,0.008844949318,0.009050035757,0.8507847053,0.8956505235,1,1,0.6526345116,0.6475039059,0.9675881461,0.9783579252,0.8644895854,0.7345628951,0.3404615373,0.1170782458,0.4681472253,0.2681467506,0.7454953778,-0.1306754968,-0.0953101798,-0.0953101798,09172cb858e0c92ec4e5f5e5ad6872cd6209da8688c40f5208251eef190a7493,07f96829b0d91e6b5aec39de25921474b6889fc1c070a45f915e6bbde2ecc050,5467cccc583b98fd975132018f120a670d5d11bc40ef809b3a6ffbac142810cf
110262:H3,110262,147265,75418,competitive_rank2,competitive_rank2,B,CANONICAL,1,True,,center5_v1,0.5259185024,0.7817077774,b0fee4bc6fd340e4,0.9684593138,0.9391912156,8069b221c47dd7c0,0.9198007053,0.7141649267,0.01200158143,0.009345966165,0.9844420909,0.9559489628,1,1,0.6837299173,0.6582647991,0.9866915079,0.9675315182,0.8804336246,0.8562070005,0.6674864877,0.3090327192,-0.1601164296,0.2591645134,0.8029151078,0.7639622577,-0.3184537311,-0.0953101798,09172cb858e0c92ec4e5f5e5ad6872cd6209da8688c40f5208251eef190a7493,2eb1da59a40ab6432ab3544bb7f2d9596683800e23ba9d8129ca5f31c1e753b0,272b78e0e42c723e0e0aeff90b4058f41b5465b1141926dbdbf1a8b7b2aaf227
110262:H4,110262,147265,44949,competitive_rank2,competitive_rank2,Neither,CANONICAL,1,False,NEITHER,center5_v1,0.5259185024,0.4198540583,b0fee4bc6fd340e4,0.9684593138,0.9661099627,8069b221c47dd7c0,0.9198007053,0.8737829628,0.01200158143,0.009404649842,0.9844420909,0.8964417627,1,1,0.6837299173,0.633373168,0.9866915079,0.9708711734,0.8804336246,0.9308177723,0.6674864877,0.2652152787,-0.1601164296,0.243757276,0.8029151078,0.7731040427,-0.3184537311,-0.2411620568,09172cb858e0c92ec4e5f5e5ad6872cd6209da8688c40f5208251eef190a7493,2eb1da59a40ab6432ab3544bb7f2d9596683800e23ba9d8129ca5f31c1e753b0,0f0cdaf9869ab90de02f41851372cf9e331431ce8e6321803bb5c6e828a98ce4
110262:H5,110262,44949,110264,competitive_rank2,competitive_rank2,B,CANONICAL,1,True,,center5_v1,0.4198540583,0.6888354367,b0fee4bc6fd340e4,0.9661099627,0.951906059,8069b221c47dd7c0,0.8737829628,0.8585937139,0.009404649842,0.009464994814,0.8964417627,0.9002549234,1,1,0.633373168,0.6638420341,0.9708711734,0.9190236556,0.9308177723,0.8042438572,0.2652152787,0.4088939873,0.243757276,0.4710434931,0.7731040427,0.7727396957,-0.2411620568,-0.04652001563,09172cb858e0c92ec4e5f5e5ad6872cd6209da8688c40f5208251eef190a7493,0f0cdaf9869ab90de02f41851372cf9e331431ce8e6321803bb5c6e828a98ce4,9105f3cdb272549e8c91ce29277d078cfd2bd4931a1c16b49de984f2ac296640
110262:H6,110262,107189,103523,anchor_negative,anchor_negative,A,CANONICAL,1,False,,center5_v1,0.821668022,0.2140348725,b0fee4bc6fd340e4,0.9614323007,0.9385509138,8069b221c47dd7c0,0.9463226891,0.7047088581,0.01213484033,0.007912075774,0.9463226891,0.7896123717,1,1,0.6301804982,0.6538376055,0.9301544221,0.9860157678,0.9245582177,0.8354313114,0.5557223383,0.5093640401,0.4710466063,0.06095113173,0.6396640126,0.574129581,-0.0953101798,-0.1466034742,09172cb858e0c92ec4e5f5e5ad6872cd6209da8688c40f5208251eef190a7493,1e83819c238d0e63b942d62a8555f588bd95ecd9c8e80690daf6fb7415594900,60791967d467fdd05d5b6a23f4be0052131c5d1ac8916173ce87f9438215d39a
113167:H1,113167,146961,138406,disagree:laion_clap_vs_mert_5120,direct_disagreement,Tie,CANONICAL,1,False,TIE,center5_v1,0.8316568312,0.8560274428,b0fee4bc6fd340e4,0.9738604306,0.956942011,8069b221c47dd7c0,0.8035594493,0.6817522128,0.009442091038,0.00785119335,0.9027104937,0.9230568612,1,1,0.6241134203,0.6327899162,0.9554169616,0.9749713095,0.9736468377,0.9321160227,0.7006313446,0.448766518,0.5267166778,0.530693556,0.6345467481,0.8293527812,-0.1226023221,-0.3302416869,a74b51c1ad0b223e0d310eb98b094fb04e6c54bf22a543afda27858beb643794,88a40e787484239111d72637a3ca788520aa673dd49d986dc0abb2c1aa0f2f5e,37917eeb408ded3ac8fb0f45b3d083cd0aa543cbfee4897d2536d7849626037c
113167:H2,113167,50956,138406,disagree:laion_clap_vs_mert_generic,direct_disagreement,B,CANONICAL,1,True,,center5_v1,0.4350714163,0.8560274428,b0fee4bc6fd340e4,0.9687579717,0.956942011,8069b221c47dd7c0,0.9244533205,0.6817522128,0.01273488797,0.00785119335,0.9244533205,0.9230568612,1,1,0.6266020968,0.6327899162,0.9697591661,0.9749713095,0.9751685972,0.9321160227,0.6644826868,0.448766518,0.4923191097,0.530693556,-0.4155818384,0.8293527812,-0.1967102942,-0.3302416869,a74b51c1ad0b223e0d310eb98b094fb04e6c54bf22a543afda27858beb643794,d37175a26d64eafdff62f1ffaea2bd086f9d005cac105e42373bd247e4061323,37917eeb408ded3ac8fb0f45b3d083cd0aa543cbfee4897d2536d7849626037c
113167:H3,113167,57640,138406,disagree:laion_clap_vs_muq_mulan_large,direct_disagreement,B,CANONICAL,1,True,,center5_v1,0.596859426,0.8560274428,b0fee4bc6fd340e4,0.9499514875,0.956942011,8069b221c47dd7c0,0.7540363791,0.6817522128,0.009647809968,0.00785119335,0.8969537418,0.9230568612,0.9910490492,1,0.6286947944,0.6327899162,0.91110008,0.9749713095,0.9250137976,0.9321160227,0.4582024062,0.448766518,0.6653381852,0.530693556,0.6325394797,0.8293527812,-0.1226023221,-0.3302416869,a74b51c1ad0b223e0d310eb98b094fb04e6c54bf22a543afda27858beb643794,832cff11c669ae3d355c99c92d4d99f3e0ef88052c078a68e67ca6725efbe1ee,37917eeb408ded3ac8fb0f45b3d083cd0aa543cbfee4897d2536d7849626037c
113167:H4,113167,50956,146961,disagree:mert_5120_vs_mert_generic,direct_disagreement,B,CANONICAL,1,True,,center5_v1,0.4350714163,0.8316568312,b0fee4bc6fd340e4,0.9687579717,0.9738604306,8069b221c47dd7c0,0.9244533205,0.8035594493,0.01273488797,0.009442091038,0.9244533205,0.9027104937,1,1,0.6266020968,0.6241134203,0.9697591661,0.9554169616,0.9751685972,0.9736468377,0.6644826868,0.7006313446,0.4923191097,0.5267166778,-0.4155818384,0.6345467481,-0.1967102942,-0.1226023221,a74b51c1ad0b223e0d310eb98b094fb04e6c54bf22a543afda27858beb643794,d37175a26d64eafdff62f1ffaea2bd086f9d005cac105e42373bd247e4061323,88a40e787484239111d72637a3ca788520aa673dd49d986dc0abb2c1aa0f2f5e
113167:H5,113167,146961,57640,disagree:mert_5120_vs_muq_mulan_large,direct_disagreement,A,CANONICAL,1,True,,center5_v1,0.8316568312,0.596859426,b0fee4bc6fd340e4,0.9738604306,0.9499514875,8069b221c47dd7c0,0.8035594493,0.7540363791,0.009442091038,0.009647809968,0.9027104937,0.8969537418,1,0.9910490492,0.6241134203,0.6286947944,0.9554169616,0.91110008,0.9736468377,0.9250137976,0.7006313446,0.4582024062,0.5267166778,0.6653381852,0.6345467481,0.6325394797,-0.1226023221,-0.1226023221,a74b51c1ad0b223e0d310eb98b094fb04e6c54bf22a543afda27858beb643794,88a40e787484239111d72637a3ca788520aa673dd49d986dc0abb2c1aa0f2f5e,832cff11c669ae3d355c99c92d4d99f3e0ef88052c078a68e67ca6725efbe1ee
113167:H6,113167,50956,57640,disagree:mert_generic_vs_muq_mulan_large,direct_disagreement,Neither,CANONICAL,1,False,NEITHER,center5_v1,0.4350714163,0.596859426,b0fee4bc6fd340e4,0.9687579717,0.9499514875,8069b221c47dd7c0,0.9244533205,0.7540363791,0.01273488797,0.009647809968,0.9244533205,0.8969537418,1,0.9910490492,0.6266020968,0.6286947944,0.9697591661,0.91110008,0.9751685972,0.9250137976,0.6644826868,0.4582024062,0.4923191097,0.6653381852,-0.4155818384,0.6325394797,-0.1967102942,-0.1226023221,a74b51c1ad0b223e0d310eb98b094fb04e6c54bf22a543afda27858beb643794,d37175a26d64eafdff62f1ffaea2bd086f9d005cac105e42373bd247e4061323,832cff11c669ae3d355c99c92d4d99f3e0ef88052c078a68e67ca6725efbe1ee
113167:H7,113167,125183,97211,competitive_rank2,competitive_rank2,A,CANONICAL,1,True,,center5_v1,0.8452968288,0.6452394641,b0fee4bc6fd340e4,0.9524142759,0.9732654981,8069b221c47dd7c0,0.7769193918,0.8582032085,0.009935754324,0.01279879719,0.9224130934,0.8582032085,1,1,0.6460464082,0.6207097281,0.9714288192,0.9428404863,0.9448144993,0.982986879,0.5622855221,0.8705344705,0.4495237991,0.4112676925,0.7619654619,0.8906339058,-0.1910552368,-0.2657031657,a74b51c1ad0b223e0d310eb98b094fb04e6c54bf22a543afda27858beb643794,ece6a0a9e5454af50f14eacfa6490f6a83118d521fd7914f00902f788486eda9,fd79cad865ab16139b6f78859ad9cb1ecb441cf96242f9f2279367b08b9a401d
113167:H8,113167,46736,97211,competitive_rank2,competitive_rank2,B,CANONICAL,1,True,,center5_v1,0.6354924401,0.6452394641,b0fee4bc6fd340e4,0.9676895794,0.9732654981,8069b221c47dd7c0,0.6245513273,0.8582032085,0.008192410919,0.01279879719,0.9234695173,0.8582032085,0.9980178375,1,0.6224913619,0.6207097281,0.9365538228,0.9428404863,0.9678156596,0.982986879,0.7151474818,0.8705344705,0.7408124023,0.4112676925,0.4543804843,0.8906339058,-0.04445176257,-0.2657031657,a74b51c1ad0b223e0d310eb98b094fb04e6c54bf22a543afda27858beb643794,603537c21aa29511e324ef89c9f5a9af66a8763f5d8b0bae3b918e73124e830a,fd79cad865ab16139b6f78859ad9cb1ecb441cf96242f9f2279367b08b9a401d
114223:H1,114223,115293,114222,competitive_rank2,competitive_rank2,A,CANONICAL,1,True,,center5_v1,0.9419531816,0.8995123976,b0fee4bc6fd340e4,0.9676452536,0.9704482315,8069b221c47dd7c0,0.9032753504,0.818135034,0.01141136145,0.01027663043,0.9032753504,0.8606085286,0.9755600815,0.9767095945,0.6340893729,0.6290806002,0.9184560424,0.9150823962,0.9725044963,0.9781049943,0.7701267949,0.539117224,0.8101052722,0.7522340514,0.9816711001,0.9551717423,-0.1823215568,-0.2876820725,98d5578c2f515cbf6a4ec8ecd9b43bfe517308ae5cba1ee0b761c88331f00111,fd05a03e15d398e8bb6dfb5b7c975841fac09433d8ed0ce0aa09c583e0db4b42,3fac00452ec119828d92bbd6b64b75268350466eaa08e1a1bb3ea0031c7329e3
114223:H2,114223,114222,138319,competitive_rank2,competitive_rank2,Tie,CANONICAL,1,False,TIE,center5_v1,0.8995123976,0.5815634904,b0fee4bc6fd340e4,0.9704482315,0.9680942063,8069b221c47dd7c0,0.818135034,0.8412141774,0.01027663043,0.01117799247,0.8606085286,0.8887750848,0.9767095945,0.9860411897,0.6290806002,0.6284901319,0.9150823962,0.9042557198,0.9781049943,0.9681980735,0.539117224,0.5677400651,0.7522340514,0.7239250336,0.9551717423,0.7573321515,-0.2876820725,-0.04082199452,98d5578c2f515cbf6a4ec8ecd9b43bfe517308ae5cba1ee0b761c88331f00111,3fac00452ec119828d92bbd6b64b75268350466eaa08e1a1bb3ea0031c7329e3,5d91a8f30c32b8105423d37175606c33f986e02bd4d9650d07ac5c54a4574127
115700:H1,115700,54942,7548,competitive_rank2,competitive_rank2,Neither,CANONICAL,1,False,NEITHER,center5_v1,0.3206533605,0.4679478082,b0fee4bc6fd340e4,0.9616176432,0.9699818941,8069b221c47dd7c0,0.9881201848,0.9859516705,0.01900717043,0.02413626629,0.9917520553,0.9903226628,1,1,0.7830550689,0.8201840807,0.9994995357,0.9986830872,0.723194553,0.6320608138,0.7031250761,0.7853580904,0.7407201532,0.8751409983,0.1676372655,0.7423018552,-0.2578291093,-0,46d7db30c911eb2dfd9f6340662d3e7f06a81fa32b187024d7f24d346da1c0ec,16293820d990d12556c1c3849d65eea92b0996f081c80b4a73c510f5395885e3,f8cb48d9ec544ec6e939e8c15cea8d9064c836ea5346e5871862b53c75dc139f
11790:H1,11790,140620,56686,competitive_rank2,competitive_rank2,A,CANONICAL,1,True,,center5_v1,0.5620350551,0.7857742797,b0fee4bc6fd340e4,0.9667814904,0.9396943222,8069b221c47dd7c0,0.9478499603,0.6397289303,0.02217433311,0.009419385382,0.9478499603,0.7425371827,0.9554429795,0.9980178375,0.6079874469,0.6199299614,0.8420109973,0.8215676154,0.9490844248,0.9405876839,0.7976768475,0.5486948916,0.580197123,0.2950961091,0.8052440487,0.8048236903,-0.03390155168,-0.5679840376,e67a0245e255c9cf790d32457dbdf969d3c1b06b9b81481e8891b94c17c6eed6,aa9b64980db145ff2908e17768f667c0381a4e885a6d756ea0edc9e98ed9efa1,de586c123bebee153e29ddcf3836e1fd5feefd5adc592090ef91be79421ebf2a
